OBJECTID,MGRA,CT10,CT10BG,SRA,MSA,City,ZIP,Sphere,CPA,CPASG,TAZ,Council,Super,LUZ,Elem,Unif,High,Coll,Transit,Shape_Leng,Shape_Area,OBJECTID_2,FNODE,TNODE,LENGTH,ROADSEGID,POSTID,POSTDATE,ROADID,RIGHTWAY,ADDSEGDT,SEGSTAT,DEDSTAT,FUNCLASS,ONEWAY,SUBDIVID,SEGCLASS,LJURISDIC,LLOWADDR,LHIGHADDR,RJURISDIC,RLOWADDR,RHIGHADDR,LMIXADDR,RMIXADDR,PENDING,ABLOADDR,ABHIADDR,NAD83N,NAD83E,SPEED,L_ZIP,R_ZIP,LPSJUR,RPSJUR,CARTO,OBMH,FIREDRIV,L_BLOCK,R_BLOCK,L_TRACT,R_TRACT,L_BEAT,R_BEAT,FRXCOORD,FRYCOORD,MIDXCOORD,MIDYCOORD,TOXCOORD,TOYCOORD,F_LEVEL,T_LEVEL,L_PSBLOCK,R_PSBLOCK,RD20PRED,RD20NAME,RD20SFX,RD20FULL,RD30PRED,RD30NAME,RD30SFX,RD30POSTD,RD30FULL,Shape_Leng_2
9371,9541,14602,146023,33,3,9,91941,900,0,0,3438,0,2,136,22,0,16,1,1,1628.718215,113473.6889,120701,176618,88881,645.2793875,214129,fjessie,9/11/2019,29648,0,8/21/2015,M,D,R,F,,9,LG,0,0,LG,0,0,N,N,N,0,0,1852237.385,6320979.473,18,91941,91941,LG,LG,9,N,Y,3015,3015,14602,14602,602,602,6320979.473,1852237.385,6320711.662,1852069.046,6320411,1851953,2,2,30180,30180,,SR-94,RA,SR-94 RA,,STATE ROUTE 94,RAMP,,STATE ROUTE 94 RAMP,645.279279
9371,9541,14602,146023,33,3,9,91941,900,0,0,3438,0,2,136,22,0,16,1,1,1628.718215,113473.6889,120216,177840,175944,717.5666645,214128,fjessie,12/17/2019,29648,0,8/21/2015,M,D,R,F,,9,LM,0,0,LM,0,0,N,N,N,0,0,1852628.819,6321453.415,18,91941,91941,LM,LM,9,N,Y,3015,3015,14602,14602,1,1,6321453.415,1852628.819,6321104.342,1852574.381,6320982.695,1852244.356,1,2,30180,30180,,SR-94,RA,SR-94 RA,,STATE ROUTE 94,RAMP,,STATE ROUTE 94 RAMP,717.5666657
9371,9541,14602,146023,33,3,9,91941,900,0,0,3438,0,2,136,22,0,16,1,1,1628.718215,113473.6889,116641,177842,88195,121.3596175,214133,fjessie,12/17/2019,29646,0,8/21/2015,M,D,R,F,,9,LM,0,0,LM,0,0,N,N,N,0,0,1852602.891,6321333.794,18,91941,91941,LM,LM,9,N,Y,3015,3015,14602,14602,1,1,6321333.794,1852602.891,6321394.717,1852605.961,6321455,1852609,1,1,30180,30200,,SR-94,RA,SR-94 RA,,STATE ROUTE 94,RAMP,,STATE ROUTE 94 RAMP,121.3596613
9371,9541,14602,146023,33,3,9,91941,900,0,0,3438,0,2,136,22,0,16,1,1,1628.718215,113473.6889,111105,177843,177841,294.8229549,214131,egregory,8/21/2015,29646,0,8/21/2015,M,D,R,F,,9,LM,0,0,LM,0,0,N,N,N,0,0,1852353,6321469.999,18,91941,91941,LM,LM,9,N,Y,3015,3015,14602,14602,1,1,6321469.999,1852353,6321325.498,1852326.045,6321180.215,1852331.723,1,1,30210,30210,,SR-94,RA,SR-94 RA,,STATE ROUTE 94,RAMP,,STATE ROUTE 94 RAMP,294.8227639
9371,9541,14602,146023,33,3,9,91941,900,0,0,3438,0,2,136,22,0,16,1,1,1628.718215,113473.6889,147781,88370,88195,187.32325,37281,fjessie,12/17/2019,9320,0,6/1/1985,M,D,2,B,0,4,LM,3748,3772,LM,3749,3773,N,N,N,3748,3773,1852422,6321466,25,91941,91941,LM,LM,4,N,Y,3015,3016,14602,14602,1,1,6321466,1852422,6321460.48,1852515.838,6321455,1852609,1,1,30200,30170,,LEMON GROVE,AV,LEMON GROVE AV,,LEMON GROVE,AVE,,LEMON GROVE AVE,187.3235304
935,950,2703,27034,6,0,14,92115,1457,1457,0,3574,4,4,87,22,0,16,1,1,1292.416075,60957.28763,28412,91461,91408,296.3660636,134799,rshort,6/15/2013,102785,0,2/1/1989,M,D,R,F,0,9,SD,0,0,SD,0,0,N,N,N,0,0,1848984.478,6313773.855,25,92115,92115,SD,SD,9,N,Y,1001,4020,2712,2703,451,451,6313773.855,1848984.478,6313629.107,1848992.848,6313486,1849032,1,1,40252,40252,,SR-94 WB OFF,RA,SR-94 WB OFF RA,,STATE ROUTE 94 WB OFF,RAMP,,STATE ROUTE 94 WB OFF RAMP,296.3661799
935,950,2703,27034,6,0,14,92115,1457,1457,0,3574,4,4,87,22,0,16,1,1,1292.416075,60957.28763,80798,91375,91408,84.95881355,19192,adowling,9/15/2015,5518,0,4/1/1980,M,D,L,B,0,5,SD,6400,6408,SD,6401,6409,N,N,N,6400,6409,1849089,6313423,20,92115,92115,SD,SD,4,N,Y,4020,1001,2703,2712,451,451,6313423,1849089,6313454.145,1849060.822,6313486,1849032,1,1,40252,10032,,COLLEGE GROVE,WY,COLLEGE GROVE WY,,COLLEGE GROVE,WAY,,COLLEGE GROVE WAY,84.95864363
933,948,2703,27034,6,0,14,92115,1457,1457,0,3574,4,4,87,22,0,16,1,1,1622.068647,101467.5873,0,0,0,0,0,,,0,0,,,,,,0,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0
9276,9446,14500,145002,33,3,9,91941,900,0,0,3491,0,2,136,22,0,16,1,1,1900.661205,108385.2831,120209,177777,177779,1156.021822,214056,fjessie,11/2/2016,102790,0,8/20/2015,M,D,R,F,,9,LG,0,0,LG,0,0,N,N,N,0,0,1851475.655,6316275.731,18,92115,92115,LG,LG,9,N,Y,2008,2008,14500,14500,601,601,6316275.731,1851475.655,6315807.717,1851136.47,6315328.853,1850812.817,1,1,20080,20080,,SR-94 WB OFF,RA,SR-94 WB OFF RA,,STATE ROUTE 94 WB OFF,RAMP,,STATE ROUTE 94 WB OFF RAMP,1156.021772
9275,9445,14500,145002,33,3,9,91941,900,0,0,3491,0,2,136,22,0,16,1,1,1149.483052,67373.29049,0,0,0,0,0,,,0,0,,,,,,0,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0
