node,MGRA
740,9256
746,9256
759,9256
755,9256
756,9256
687,9255
671,9255
688,9255
667,9255
674,9255
655,9254
656,9254
638,9254
938,9254
939,9254
957,9254
959,9254
653,9254
570,9253
560,9253
558,9253
561,9253
392,9252
343,9252
342,9252
386,9250
367,9250
424,9250
310,9249
311,9249
306,9249
341,9248
285,9248
287,9248
251,9247
253,9247
288,9247
286,9247
224,9246
225,9246
201,9245
199,9245
169,9243
170,9243
132,9243
136,9243
179,9242
134,9242
226,9241
200,9241
177,9241
131,9241
298,9240
263,9240
261,9240
961,9240
962,9240
268,9240
255,9239
256,9239
232,9239
273,9239
254,9239
1082,9239
284,9239
305,9239
289,9239
189,9237
196,9237
218,9237
192,9236
217,9236
188,9236
304,9235
335,9235
312,9235
294,9235
314,9235
198,9235
976,9235
173,9234
153,9234
174,9234
154,9234
171,9234
160,9234
168,9234
133,9234
140,9234
127,9232
91,9232
88,9232
84,9232
981,9232
980,9232
178,9230
175,9230
151,9230
157,9230
123,9230
68,9229
48,9229
70,9229
44,9229
1064,9228
508,9228
496,9228
498,9228
535,9228
518,9228
509,9228
510,9228
448,9227
449,9227
471,9227
472,9227
450,9227
446,9226
447,9226
540,9226
534,9226
486,9226
477,9226
533,9226
485,9226
470,9226
415,9224
401,9224
384,9224
428,9223
431,9223
349,9222
327,9222
345,9222
303,9222
300,9222
301,9222
352,9222
313,9222
330,9222
351,9222
347,9222
230,9221
250,9221
259,9221
228,9221
242,9221
229,9221
1072,9221
194,9220
195,9220
231,9220
60,9039
59,9039
102,9039
99,9039
57,9039
76,9039
33,9036
26,9036
22,9036
40,9036
19,9036
15,9036
69,9036
28,9036
21,9036
830,1386
819,1386
895,1372
872,1372
910,1372
867,1369
849,1369
930,1362
924,1362
928,1362
918,1362
919,1362
927,1362
929,1361
920,1361
933,1361
923,1361
932,1361
921,1361
922,1361
931,1361
926,1343
915,1343
916,1343
917,1343
925,1343
913,1343
907,1334
999,1334
901,1334
885,1334
1006,1334
615,1300
572,1300
1090,1297
490,1297
491,1297
429,1296
432,1296
414,1296
454,1296
444,1296
524,1295
494,1295
527,1295
481,1295
468,1295
478,1295
501,1295
525,1295
399,1291
380,1291
417,1291
409,1291
480,1291
436,1291
358,1291
366,1291
407,1291
383,1291
425,1291
372,1291
418,1291
421,1291
385,1291
382,1291
954,1291
955,1291
956,1291
469,1291
463,1291
375,1291
373,1291
364,1289
280,1289
215,1289
272,1289
1037,1288
180,1288
279,1046
338,1046
621,9274
960,9274
702,9255
648,9274
992,9270
991,9270
625,9273
1085,9273
1084,9273
937,9273
612,9272
451,9269
361,9275
360,9275
546,9270
452,9264
453,9268
394,9267
744,9298
694,9294
661,9287
732,9296
767,9296
777,9295
1092,9342
685,9295
683,9281
679,9290
557,9283
476,9282
551,9282
439,9279
443,9225
898,9311
875,9309
1094,9307
1091,9345
762,9303
799,9257
914,1361
996,1334
609,1300
544,1300
550,1300
1089,1300
438,1293
611,1300
532,1297
504,1297
1086,1294
520,1294
521,1296
333,1290
526,1295
529,1295
356,1291
339,1291
1039,1288
126,1288
571,1046
344,9251
307,9222
1083,9222
258,9221
227,9247
1073,9221
271,9221
13,9036
100,9230
23,9036
16,9036
135,9230
172,9039
821,1387
823,9260
223,9238
963,9238
233,9238
357,9265
350,9235
292,9233
283,9233
83,9231
947,9230
49,9390
340,9250
124,9243
130,9398
964,9240
302,9240
1058,9542
67,9391
45,9383
14,9383
1060,9382
990,9381
24,9381
27,9381
18,9381
17,9381
25,9381
1,9381
0,9380
296,9378
260,9367
275,9377
276,9377
237,9362
184,9405
206,9358
182,9405
142,9403
109,9414
106,9391
103,9395
104,9394
87,9394
73,9391
41,9391
138,9399
1032,9408
79,9414
114,9412
116,9411
1030,9413
112,9413
113,9417
65,9412
146,9356
149,9357
117,9419
1034,9430
1027,9409
120,9421
985,9541
984,9541
187,9429
186,9429
213,9363
152,9428
197,9427
162,9426
148,9353
576,9327
949,9325
493,9325
563,9326
562,9326
1063,9324
519,9324
549,9325
331,9321
944,9319
707,9340
586,9338
601,9337
538,9336
1097,9335
462,9334
473,9334
423,9334
404,9332
781,9344
696,9330
390,9351
238,9350
264,9361
270,9348
995,9346
236,9367
1019,9363
207,9361
244,9360
267,9360
181,9358
163,9358
982,9357
975,9275
362,9275
881,9262
978,9262
800,9262
879,9262
882,9262
884,9262
883,9262
776,9257
675,9277
