,from_node,to_node,distance,travel_time,link_type,route_id,route_type
0,94048,13510,0.417561312,50.10735744,0,[1],3
1,13510,94048,0.417561312,50.10735744,0,[1],3
2,13510,10478,1.036446828,124.3736194,0,[1],3
3,10478,13510,1.036446828,124.3736194,0,[1],3
4,10478,13391,0.04970968,5.9651616,0,[1],3
5,13391,10478,0.04970968,5.9651616,0,[1],3
6,13391,10106,0.075185891,9.02230692,0,"[1, 11]",3
7,10106,13391,0.075185891,9.02230692,0,"[1, 11]",3
8,10106,10111,0.065243955,7.8292746,0,"[1, 10, 11]",3
9,10111,10106,0.065243955,7.8292746,0,"[1, 10, 11]",3
10,10111,10114,0.084506456,10.14077472,0,"[1, 11]",3
11,10114,10111,0.084506456,10.14077472,0,"[1, 11]",3
12,10114,10494,0.08699194,10.4390328,0,"[1, 11]",3
13,10494,10114,0.08699194,10.4390328,0,"[1, 11]",3
14,10494,12804,0.116817748,14.01812976,0,"[1, 11]",3
15,12804,10494,0.116817748,14.01812976,0,"[1, 11]",3
16,12804,12453,0.133594765,16.0313718,0,"[1, 11]",3
17,12453,12804,0.133594765,16.0313718,0,"[1, 11]",3
18,12453,12454,0.078914117,9.46969404,0,"[1, 11]",3
19,12454,12453,0.078914117,9.46969404,0,"[1, 11]",3
20,12454,10502,0.081399601,9.76795212,0,[1],3
21,10502,12454,0.081399601,9.76795212,0,[1],3
22,10502,10129,0.111225409,13.34704908,0,[1],3
23,10129,10502,0.111225409,13.34704908,0,[1],3
24,10129,10517,0.106254441,12.75053292,0,[1],3
25,10517,10129,0.106254441,12.75053292,0,[1],3
26,10517,10139,0.072079036,8.64948432,0,[1],3
27,10139,10517,0.072079036,8.64948432,0,[1],3
28,10139,10533,0.106254441,12.75053292,0,"[1, 6]",3
29,10533,10139,0.106254441,12.75053292,0,"[1, 6]",3
30,10533,10150,0.070214923,8.42579076,0,"[1, 6]",3
31,10150,10533,0.070214923,8.42579076,0,"[1, 6]",3
32,10150,10543,0.110604038,13.27248456,0,[1],3
33,10543,10150,0.110604038,13.27248456,0,[1],3
34,10543,10548,0.085749198,10.28990376,0,[1],3
35,10548,10543,0.085749198,10.28990376,0,[1],3
36,10548,10189,0.177712106,21.32545272,0,[1],3
37,10189,10548,0.177712106,21.32545272,0,[1],3
38,10189,10196,0.155964121,18.71569452,0,[1],3
39,10196,10189,0.155964121,18.71569452,0,[1],3
40,10196,10201,0.094448392,11.33380704,0,[1],3
41,10201,10196,0.094448392,11.33380704,0,[1],3
