,stop_id,stop_lat,stop_lon,string_id
128,60230,32.57588817,-117.1058019,60230
129,60186,32.56943066,-117.1055965,60186
130,88984,32.71373903,-117.1519106,88984
131,99288,32.66808777,-117.1008249,99288
132,99281,32.66787097,-117.1007773,99281
133,50140,32.6659013,-117.1077704,50140
134,99282,32.66620281,-117.1074939,99282
135,99286,32.66964963,-117.0951273,99286
136,99315,32.66937711,-117.0955894,99315
137,99285,32.67077924,-117.0911119,99285
138,99316,32.67070397,-117.0908642,99316
139,50008,32.67125056,-117.0889002,50008
140,50065,32.67136504,-117.089041,50065
141,59003,32.6671752,-117.1032206,59003
142,99308,32.66712191,-117.104169,99308
143,50011,32.67279173,-117.0833353,50011
144,50082,32.6726873,-117.0841467,50082
145,50040,32.67183694,-117.0867383,50040
146,50068,32.67196519,-117.086876,50068
147,50012,32.67364475,-117.0803374,50012
148,50083,32.67360803,-117.0808927,50083
149,30361,32.63913491,-117.0700465,30361
150,12411,32.71964764,-117.1637294,12411
151,12751,32.71553186,-117.1637498,12751
152,99118,32.715926,-117.1637493,99118
153,11637,32.74341279,-117.163901,11637
154,12759,32.7434827,-117.1637391,12759
155,60546,32.71686628,-117.1637103,60546
156,12753,32.72431993,-117.163755,12753
157,30360,32.64326069,-117.0716507,30360
158,30415,32.64339054,-117.0715512,30415
159,30416,32.63930857,-117.0699702,30416
160,12415,32.72595816,-117.1637395,12415
161,12756,32.72844805,-117.1637751,12756
162,11636,32.72943597,-117.1639837,11636
163,12014,32.73113997,-117.1639948,12014
164,12757,32.73158666,-117.1638011,12757
165,12016,32.73322041,-117.1640197,12016
166,12417,32.73332364,-117.1638126,12417
167,12416,32.73649246,-117.1638422,12416
168,12015,32.73759311,-117.1640455,12015
169,12018,32.74677674,-117.1639326,12018
170,12418,32.74715709,-117.1637902,12418
171,12412,32.73856748,-117.1638572,12412
172,12013,32.73955812,-117.1640692,12013
173,12414,32.74066723,-117.1638725,12414
174,12017,32.74119891,-117.1640797,12017
175,12758,32.74194644,-117.1637167,12758
176,60058,32.69762037,-117.1697356,60058
177,60165,32.69795871,-117.1700675,60165
178,50029,32.66274886,-117.0986256,50029
179,50078,32.66315798,-117.0978855,50078
180,50027,32.66209762,-117.1009945,50027
181,50053,32.66220853,-117.1012523,50053
182,75014,32.66196491,-117.1080061,75014
183,75015,32.66170409,-117.1080052,75015
184,91136,32.66195902,-117.1079043,91136
185,91138,32.66162193,-117.1077646,91138
186,91139,32.66157522,-117.1073677,91139
187,75074,32.70527695,-117.138731,75074
188,75075,32.70528997,-117.1411539,75075
189,11684,32.71611353,-117.1403651,11684
190,11682,32.70648888,-117.1402776,11682
191,12464,32.70610834,-117.1400689,12464
192,12466,32.71043145,-117.1401093,12466
193,12076,32.70923456,-117.1402891,12076
194,12465,32.70832625,-117.1400881,12465
195,60220,32.69647225,-117.1381384,60220
196,11639,32.72013133,-117.1629931,11639
197,11640,32.7210545,-117.1630384,11640
198,12020,32.72383894,-117.163012,12020
199,11641,32.72525162,-117.1630201,11641
200,40860,32.80825072,-116.9355562,40860
201,41104,32.81631477,-116.9355506,41104
202,41106,32.81612067,-116.9358583,41106
203,40668,32.81290227,-116.9358462,40668
204,41103,32.81374761,-116.9355664,41103
205,41105,32.82027157,-116.9352364,41105
206,40667,32.81068978,-116.935842,40667
207,60108,32.69543451,-117.1683671,60108
208,98546,32.90178132,-117.2404865,98546
209,13532,32.71882529,-117.1293964,13532
210,13533,32.7187603,-117.1296461,13533
211,12089,32.76258874,-117.1303147,12089
212,11694,32.71710835,-117.1296589,11694
213,12099,32.72322478,-117.130289,12099
214,12091,32.74399356,-117.130142,12091
215,12478,32.74410477,-117.1299642,12478
216,11692,32.75555853,-117.1302477,11692
217,12476,32.75494144,-117.1300627,12476
218,12818,32.72465551,-117.1300789,12818
219,11696,32.72563542,-117.130261,11696
220,12474,32.72641717,-117.1300965,12474
221,50037,32.659281,-117.0904954,50037
222,50062,32.65937404,-117.0909577,50062
223,12084,32.75422334,-117.1302435,12084
224,12475,32.75394371,-117.1300657,12475
225,12096,32.72985318,-117.1296593,12096
226,12828,32.72989275,-117.1295069,12828
227,50197,32.66042553,-117.0870947,50197
228,99491,32.66028741,-117.0867912,99491
229,12086,32.75896658,-117.1302623,12086
230,12822,32.7594159,-117.1300781,12822
231,12093,32.7471599,-117.1301346,12093
232,12479,32.74722434,-117.1299628,12479
233,12082,32.75199656,-117.1302349,12082
234,12819,32.7524596,-117.1300541,12819
235,11697,32.73753465,-117.1293587,11697
236,12830,32.7376566,-117.1292169,12830
237,11693,32.74863258,-117.1302078,11693
238,12824,32.74879854,-117.1300599,12824
239,75072,32.70576993,-117.124753,75072
240,75073,32.70577705,-117.1245239,75073
241,10563,32.70530322,-117.1168921,10563
242,12212,32.59827629,-117.0646115,12212
243,12939,32.59877277,-117.0643466,12939
244,11754,32.64110262,-117.0799707,11754
245,12903,32.64121468,-117.07982,12903
246,12180,32.63710591,-117.0783563,12180
247,12547,32.63764744,-117.0783452,12547
248,12189,32.6337256,-117.0770805,12189
249,12553,32.63419907,-117.0769713,12553
250,12918,32.63130681,-117.075869,12918
251,30299,32.63031303,-117.0756941,30299
252,12194,32.62661222,-117.0742531,12194
253,12920,32.62815162,-117.074628,12920
254,12196,32.62370916,-117.0731185,12196
255,12557,32.62395498,-117.0729389,12557
256,11769,32.62079774,-117.0720001,11769
257,12924,32.62099967,-117.0718071,12924
258,12938,32.5951143,-117.0643843,12938
259,99446,32.59660257,-117.064596,99446
260,12201,32.61610202,-117.0701345,12201
261,12559,32.6170303,-117.0702405,12559
262,11771,32.61385413,-117.069253,11771
263,12927,32.61413547,-117.069103,12927
264,12213,32.60129974,-117.0645939,12213
265,12940,32.60230656,-117.0644604,12940
266,11773,32.61056174,-117.067969,11773
267,12930,32.61105695,-117.0678956,12930
268,11777,32.60710488,-117.0666153,11777
269,12932,32.60719985,-117.0663857,12932
270,11779,32.60391383,-117.0653811,11779
271,12935,32.60411579,-117.0651817,12935
272,60164,32.69558141,-117.1729876,60164
273,60162,32.69701241,-117.1764157,60162
274,60161,32.69795497,-117.1786327,60161
275,60103,32.69874606,-117.1805199,60103
276,88908,32.80030414,-116.9270256,88908
277,60163,32.69612958,-117.1742936,60163
278,12508,32.70469927,-117.1081447,12508
279,99481,32.74954555,-117.1094792,99481
280,60622,32.74424673,-117.1070664,60622
281,60621,32.74575307,-117.107042,60621
282,12512,32.69048329,-117.1023054,12512
283,12860,32.68921909,-117.1022899,12860
284,99148,32.68911845,-117.1025359,99148
285,12513,32.69204751,-117.1022587,12513
286,13432,32.69139698,-117.102532,13432
287,12131,32.69404973,-117.1024666,12131
288,12514,32.69384496,-117.1022696,12514
289,11724,32.696003,-117.1025993,11724
290,12530,32.72002491,-117.0934026,12530
291,12529,32.71669902,-117.0934326,12529
292,12151,32.71406692,-117.0936935,12151
293,12154,32.72088083,-117.0936384,12154
294,12531,32.72122317,-117.0934141,12531
295,12527,32.7120654,-117.0933818,12527
296,11738,32.71025999,-117.0937318,11738
297,12528,32.71490964,-117.093448,12528
298,12152,32.71785727,-117.093668,12152
299,12150,32.70337456,-117.093796,12150
300,88890,32.70373879,-117.0935066,88890
301,12878,32.6973678,-117.0935825,12878
302,12149,32.70020269,-117.0938111,12149
303,12880,32.7007264,-117.0935918,12880
304,11737,32.69828973,-117.0938123,11737
305,12879,32.69885748,-117.0935837,12879
306,88891,32.70832954,-117.0937979,88891
307,75070,32.70843908,-117.0948191,75070
308,75071,32.70844807,-117.0950721,75071
309,12035,32.71954557,-117.1611792,12035
310,12036,32.71725334,-117.161175,12036
311,12028,32.74314665,-117.1616087,12028
312,11743,32.6511244,-117.0883417,11743
313,13179,32.65137332,-117.0881134,13179
314,12032,32.72173583,-117.1612214,12032
315,11745,32.64723753,-117.0867973,11745
316,12889,32.64750511,-117.0866537,12889
317,11642,32.72320918,-117.1612008,11642
318,12539,32.64473358,-117.0855943,12539
319,30344,32.63956735,-117.0838335,30344
320,11643,32.7252924,-117.1612224,11643
321,11748,32.64548316,-117.0861115,11748
322,12034,32.71236153,-117.1611017,12034
323,30345,32.63646269,-117.0826494,30345
324,30407,32.63660004,-117.0824574,30407
325,30524,32.63353881,-117.0813125,30524
326,12039,32.72697159,-117.161243,12039
327,12042,32.72906042,-117.1612483,12042
328,11644,32.73153127,-117.1612576,11644
329,30468,32.59525481,-117.0688921,30468
330,30467,32.59720622,-117.0688939,30467
331,12040,32.73326267,-117.1612788,12040
332,30549,32.63840936,-117.0831501,30549
333,12037,32.73678491,-117.161352,12037
334,12025,32.74661233,-117.1616348,12025
335,30003,32.63434804,-117.0817898,30003
336,11645,32.73884183,-117.1613235,11645
337,30362,32.5974682,-117.0691756,30362
338,12027,32.74775835,-117.1616499,12027
339,12041,32.74061451,-117.1613386,12041
340,30302,32.59598098,-117.0692202,30302
341,89025,32.7168469,-117.1611669,89025
342,60005,32.69272854,-117.1707702,60005
343,60004,32.69337915,-117.172347,60004
344,50013,32.68735067,-117.0792346,50013
345,60056,32.69528574,-117.1768623,60056
346,50042,32.68633414,-117.0828425,50042
347,59018,32.68621318,-117.0840666,59018
348,50030,32.68186008,-117.0988908,50030
349,50032,32.68245177,-117.0967807,50032
350,99305,32.68258034,-117.0968697,99305
351,99304,32.6830339,-117.0952588,99304
352,60057,32.6942001,-117.1742961,60057
353,50006,32.6839792,-117.0912671,50006
354,60055,32.69597386,-117.1785566,60055
355,99303,32.68417427,-117.0912787,99303
356,50041,32.68530337,-117.0865086,50041
357,99302,32.6853627,-117.0870812,99302
358,98558,32.89175763,-117.1929213,98558
359,12551,32.75129674,-117.0792998,12551
360,12909,32.73613764,-117.0794693,12909
361,12187,32.75738899,-117.0794743,12187
362,12914,32.75830609,-117.0791999,12914
363,12172,32.72578842,-117.0833064,12172
364,11760,32.73613024,-117.0797522,11760
365,11759,32.73094605,-117.0798302,11759
366,12907,32.73097532,-117.0795638,12907
367,12183,32.74541297,-117.0795957,12183
368,12910,32.74657735,-117.0793335,12910
369,12550,32.74121722,-117.0794163,12550
370,12179,32.73362074,-117.0797708,12179
371,12908,32.73398522,-117.0795206,12908
372,11756,32.7289662,-117.0803774,11756
373,12545,32.7285975,-117.0804357,12545
374,11761,32.73787296,-117.0797263,11761
375,12549,32.73753409,-117.079437,12549
376,12182,32.74213649,-117.0796364,12182
377,12548,32.74288868,-117.0793605,12548
378,12185,32.75434603,-117.0795302,12185
379,12912,32.75521402,-117.0792001,12912
380,12186,32.7482331,-117.0795702,12186
381,12552,32.74807569,-117.0792728,12552
382,12913,32.75010505,-117.0792509,12913
383,99495,32.72491114,-117.083789,99495
384,98550,32.9044509,-117.1928423,98550
385,98560,32.89381436,-117.1931713,98560
386,11767,32.70031391,-117.0732909,11767
387,12923,32.70022125,-117.073173,12923
388,98549,32.9046676,-117.1889282,98549
389,98557,32.88889088,-117.1918448,98557
390,12765,32.71803122,-117.1600516,12765
391,12766,32.7212655,-117.16015,12766
392,12426,32.71562882,-117.1600788,12426
393,12429,32.74323347,-117.1602729,12429
394,12434,32.71656915,-117.1600333,12434
395,12427,32.72392918,-117.1600995,12427
396,12425,32.71274025,-117.160062,12425
397,12771,32.72745521,-117.1601424,12771
398,12770,32.72954404,-117.1601477,12770
399,12767,32.73152516,-117.1602235,12767
