node_index,is_stop_only,pos_x,pos_y
541,False,6325423.357,1852622.303
638,False,6325351.958,1852266.978
542,False,6323131.928,1852622.121
550,False,6323796.296,1852571.807
1051,False,6323126.18,1852640.966
545,False,6321455.0,1852609.0
408,False,6321453.415,1852628.819
546,False,6325388.506,1852604.63
1052,False,6324012.06,1852552.591
551,False,6324254.829,1852569.226
549,False,6324435.772,1852586.574
560,False,6322931.689,1852542.517
412,False,6322433.924,1852511.363
567,False,6324857.872,1852529.251
578,False,6323643.173,1852473.921
1054,False,6324684.246,1852540.225
575,False,6324971.597,1852504.342
579,False,6325068.416,1852468.614
582,False,6321466.0,1852422.0
602,False,6324139.0,1852364.0
609,False,6325509.0,1852324.0
592,False,6325586.974,1852398.261
640,False,6325566.452,1852259.652
636,False,6325450.734,1852267.138
681,False,6325343.0,1852162.0
657,False,6325397.261,1852214.761
614,False,6325264.905,1852319.189
923,False,6325603.894,1851253.427
685,False,6325447.243,1852144.269
728,False,6321515.0,1851985.0
395,False,6321480.066,1852214.173
421,False,6321560.72,1852014.211
732,False,6319942.0,1851959.0
734,False,6320411.0,1851953.0
403,False,6319698.277,1851878.799
1047,False,6319965.217,1852017.04
405,False,6320435.75,1851938.771
402,False,6319678.467,1851772.999
736,False,6322704.0,1851935.999
418,False,6322837.596,1852463.799
738,False,6322960.0,1851930.0
737,False,6325106.37,1851932.3
739,False,6323090.0,1851928.0
673,False,6322968.0,1852189.0
618,False,6323312.0,1852307.0
702,False,6323140.67,1851927.499
740,False,6323191.0,1851927.0
741,False,6323359.0,1851924.0
669,False,6323325.0,1852199.0
634,False,6323407.0,1852278.0
742,False,6323561.0,1851921.0
684,False,6323572.0,1852145.0
744,False,6323846.0,1851909.0
748,False,6324000.0,1851875.0
91,False,6324222.368,1852205.307
745,False,6325061.336,1851892.336
666,False,6324910.0,1852200.0
872,False,6325337.931,1851535.847
806,False,6324368.0,1851678.0
763,False,6324976.0,1851811.999
800,False,6317883.0,1851743.0
398,False,6317887.749,1851885.672
379,False,6316665.976,1851673.535
802,False,6321646.0,1851733.0
828,False,6321629.661,1851602.23
420,False,6321563.327,1851863.817
803,False,6324883.0,1851723.0
871,False,6324695.0,1851543.0
771,False,6324524.0,1851795.0
807,False,6317881.0,1851674.0
373,False,6319307.246,1851662.471
827,False,6321764.0,1851605.0
834,False,6321846.0,1851592.001
833,False,6321173.0,1851593.0
747,False,6321161.0,1851875.0
846,False,6322670.0,1851579.0
836,False,6320984.0,1851590.0
750,False,6320977.0,1851836.0
839,False,6325712.171,1851586.399
840,False,6320526.0,1851586.0
377,False,6320516.381,1851850.705
842,False,6325679.71,1851582.287
844,False,6325662.0,1851580.0
705,False,6322759.828,1851590.492
849,False,6318966.0,1851574.0
850,False,6319332.0,1851574.0
851,False,6319585.0,1851574.0
819,False,6319585.0,1851628.0
855,False,6318555.999,1851571.0
861,False,6318411.0,1851566.0
869,False,6321824.0,1851547.0
998,False,6325718.236,1851000.387
883,False,6325044.0,1851476.0
1075,False,6325174.0,1850831.0
892,False,6321174.0,1851418.0
215,False,6321428.291,1851419.255
893,False,6320524.0,1851411.0
909,False,6321716.0,1851296.0
913,False,6322211.001,1851288.0
917,False,6322656.0,1851275.0
928,False,6321174.0,1851246.0
934,False,6320521.0,1851239.0
936,False,6319208.0,1851235.0
937,False,6319328.001,1851235.0
938,False,6319590.0,1851235.0
943,False,6319709.162,1851234.455
950,False,6323966.0,1851159.0
957,False,6322208.0,1851125.0
956,False,6322315.0,1851126.0
959,False,6321681.0,1851122.0
962,False,6323776.0,1851117.0
1068,False,6323637.001,1850862.0
967,False,6323639.0,1851091.0
969,False,6324657.001,1851087.0
961,False,6324762.0,1851119.0
954,False,6324628.0,1851138.0
976,False,6321173.0,1851075.0
980,False,6320518.0,1851069.0
341,False,6320685.918,1851070.538
987,False,6318956.001,1851055.0
988,False,6318544.0,1851051.0
989,False,6318214.0,1851049.0
990,False,6319326.0,1851049.0
991,False,6319587.0,1851049.0
995,False,6325844.512,1851023.998
382,False,6326074.6,1848575.823
1008,False,6322965.0,1850968.0
1016,False,6325915.468,1850956.344
1021,False,6322634.0,1850922.0
1025,False,6321657.0,1850910.001
1026,False,6321511.0,1850908.0
723,False,6321543.203,1851235.746
1027,False,6321172.0,1850906.0
1029,False,6320515.0,1850903.0
1030,False,6319189.0,1850896.0
1032,False,6319324.0,1850895.0
1031,False,6319862.0,1850896.0
1033,False,6319584.0,1850895.0
1035,False,6319047.0,1850894.0
1037,False,6318953.0,1850892.0
1039,False,6318790.0,1850889.0
1040,False,6318535.381,1850887.0
1042,False,6318258.0,1850886.0
1044,False,6318211.0,1850885.0
1053,False,6317873.0,1850880.0
374,False,6317881.0,1851327.0
1059,False,6316237.0,1850873.0
389,False,6316233.208,1850816.5
368,False,6317881.15,1851561.845
1064,False,6315779.0,1850869.0
1061,False,6316946.0,1850871.0
370,False,6317484.719,1851683.727
384,False,6315433.0,1850694.75
1086,False,6323636.0,1850777.0
49,True,6325585.0,1850466.0
1093,False,6315256.757,1850737.392
138,False,6314637.0,1849918.001
1095,False,6324865.0,1850718.0
1097,False,6315415.0,1850715.0
381,False,6315328.853,1850812.817
383,False,6315182.854,1850498.967
1,False,6315579.201,1850673.099
6,False,6321638.0,1850633.999
7,False,6322017.0,1850628.0
10,False,6322458.0,1850620.0
8,False,6322955.001,1850622.0
12,False,6323469.0,1850610.0
9,False,6324685.081,1850620.462
11,False,6326023.826,1850616.542
1085,False,6323481.0,1850805.0
23,False,6323942.0,1850580.0
13,False,6315506.0,1850602.0
16,False,6321496.0,1850590.0
18,False,6321639.0,1850588.0
513,False,6323951.737,1850814.906
