MGRA,nodes
9239,"[255, 256, 232, 273, 254, 1082, 284, 305, 289]"
9237,"[189, 196, 218]"
9236,"[192, 217, 188]"
9235,"[304, 335, 312, 294, 314, 198, 976, 350]"
9234,"[173, 153, 174, 154, 171, 160, 168, 133, 140]"
9232,"[127, 91, 88, 84, 981, 980]"
9230,"[178, 175, 151, 157, 123, 100, 135, 947]"
9229,"[68, 48, 70, 44]"
9228,"[1064, 508, 496, 498, 535, 518, 509, 510]"
9227,"[448, 449, 471, 472, 450]"
9226,"[446, 447, 540, 534, 486, 477, 533, 485, 470]"
9224,"[415, 401, 384]"
9223,"[428, 431]"
9222,"[349, 327, 345, 303, 300, 301, 352, 313, 330, 351, 347, 307, 1083]"
9221,"[230, 250, 259, 228, 242, 229, 1072, 258, 1073, 271]"
9220,"[194, 195, 231]"
9039,"[60, 59, 102, 99, 57, 76, 172]"
9036,"[33, 26, 22, 40, 19, 15, 69, 28, 21, 13, 23, 16]"
1386,"[830, 819]"
1372,"[895, 872, 910]"
1369,"[867, 849]"
1362,"[930, 924, 928, 918, 919, 927]"
1361,"[929, 920, 933, 923, 932, 921, 922, 931, 914]"
1343,"[926, 915, 916, 917, 925, 913]"
1334,"[907, 999, 901, 885, 1006, 996]"
1300,"[615, 572, 609, 544, 550, 1089, 611]"
1297,"[1090, 490, 491, 532, 504]"
1296,"[429, 432, 414, 454, 444, 521]"
1295,"[524, 494, 527, 481, 468, 478, 501, 525, 526, 529]"
1291,"[399, 380, 417, 409, 480, 436, 358, 366, 407, 383, 425, 372, 418, 421, 385, 382, 954, 955, 956, 469, 463, 375, 373, 356, 339]"
1289,"[364, 280, 215, 272]"
1288,"[1037, 180, 1039, 126]"
1046,"[279, 338, 571]"
9275,"[361, 360, 975, 362]"
9294,[694]
9287,[661]
9295,"[777, 685]"
9281,[683]
9290,[679]
9283,[557]
9279,[439]
9225,[443]
9311,[898]
9257,"[799, 776]"
1293,[438]
1294,"[1086, 520]"
1290,[333]
9251,[344]
1387,[821]
9238,"[223, 963, 233]"
9265,[357]
9233,"[292, 283]"
9231,[83]
9390,[49]
9398,[130]
9542,[1058]
9382,[1060]
9378,[296]
9367,"[260, 236]"
9362,[237]
9405,"[184, 182]"
9403,[142]
9399,[138]
9412,"[114, 65]"
9417,[113]
9356,[146]
9357,"[149, 982]"
9419,[117]
9409,[1027]
9421,[120]
9429,"[187, 186]"
9363,"[213, 1019]"
9427,[197]
9426,[162]
9353,[148]
9325,"[949, 493, 549]"
9326,"[563, 562]"
9334,"[462, 473, 423]"
9361,"[264, 207]"
9360,"[244, 267]"
