wkt_geom,OBJECTID,stop_UID,stop_agenc,stop_id,stop_name,stop_lat,stop_lon,stop_code,location_t,parent_sta,wheelchair,intersecti,stop_place
Point (6317839.64077164232730865 1846611.23720823228359222),1567,MTS_12574,MTS,12574,Massachusetts Av & Mt Vernon St,32.73081815,-117.042863,12574,0,,0,N-N/B,masmtv
Point (6317896.64065763354301453 1849501.23700565099716187),1568,MTS_12575,MTS,12575,Massachusetts Av & Central Av,32.73876201,-117.0427491,12575,0,,0,N-N/B,
Point (6317729.64099164307117462 1844898.23735339939594269),1569,MTS_12576,MTS,12576,Madera St & Massachusetts Av,32.72610796,-117.0431783,12576,0,,0,N-N/B,
Point (6322731.64017397165298462 1847929.23752497136592865),1572,MTS_12579,MTS,12579,Skyline Dr & Palm St,32.73454167,-117.0269882,12579,0,,0,N-N/B,
Point (6322792.64038005471229553 1845526.23740972578525543),1573,MTS_12581,MTS,12581,Skyline Dr & Alton Dr,32.72793867,-117.0267316,12581,0,,1,M-Street-N/B,
Point (6322927.64011006057262421 1849084.23718348145484924),1574,MTS_12582,MTS,12582,Skyline Dr & Lincoln St,32.73772,-117.0263788,12582,0,,1,N-N/B,
Point (6322995.63997405767440796 1850577.23715022206306458),1575,MTS_12583,MTS,12583,Kempf St & Golden Av,32.74182466,-117.0261939,12583,0,,1,N-N/B,
Point (6315624.64093655347824097 1850551.23654605448246002),1808,MTS_12963,MTS,12963,College Av & Federal Bl,32.74160006,-117.0501635,12963,0,,1,F-N/B,
Point (6316137.64122287929058075 1843000.23754048347473145),1809,MTS_12965,MTS,12965,Madera St & Primera St,32.72085823,-117.0483072,12965,0,,2,F-E/B,
Point (6316945.64124730229377747 1843980.23754897713661194),1811,MTS_12967,MTS,12967,Madera St & Ramon St,32.72356857,-117.0457046,12967,0,,0,F-N/B,
Point (6317865.64071963727474213 1847918.23721890151500702),1812,MTS_12968,MTS,12968,Massachusetts Av & Balkis Ln,32.73441076,-117.0428107,12968,0,,0,F-N/B,
