node_index,is_stop_only,pos_x,pos_y,node_in_micro_network
0,False,6325423.357,1852622.303,1171
1,False,6323131.928,1852622.121,1172
2,False,6321455.0,1852609.0,1173
3,False,6325388.506,1852604.63,1174
5,False,6323796.296,1852571.807,1176
6,False,6324254.829,1852569.226,1177
7,False,6322931.689,1852542.517,1178
8,False,6324857.872,1852529.251,1179
9,False,6324971.597,1852504.342,1180
11,False,6325068.416,1852468.614,1182
12,False,6321466.0,1852422.0,1183
13,False,6325586.974,1852398.261,1184
15,False,6325509.0,1852324.0,1186
17,False,6323312.0,1852307.0,1188
19,False,6325450.734,1852267.138,1190
21,False,6325566.452,1852259.652,1192
22,False,6325397.261,1852214.761,1193
23,False,6324910.0,1852200.0,1194
24,False,6323325.0,1852199.0,1195
25,False,6322968.0,1852189.0,1196
26,False,6325343.0,1852162.0,1197
27,False,6323572.0,1852145.0,1198
28,False,6325447.243,1852144.269,1199
29,False,6321515.0,1851985.0,1200
30,False,6319942.0,1851959.0,1201
31,False,6320411.0,1851953.0,1202
34,False,6322960.0,1851930.0,1205
35,False,6323090.0,1851928.0,1206
36,False,6323191.0,1851927.0,1207
38,False,6323561.0,1851921.0,1209
39,False,6323846.0,1851909.0,1210
41,False,6321161.0,1851875.0,1212
42,False,6324000.0,1851875.0,1213
45,False,6324524.0,1851795.0,1216
46,False,6317883.0,1851743.0,1217
47,False,6321646.0,1851733.0,1218
48,False,6324883.0,1851723.0,1219
49,False,6324368.0,1851678.0,1220
50,False,6317881.0,1851674.0,1221
51,False,6319585.0,1851628.0,1222
52,False,6321764.0,1851605.0,1223
53,False,6321629.661,1851602.23,1224
54,False,6321173.0,1851593.0,1225
55,False,6321846.0,1851592.001,1226
57,False,6325712.171,1851586.399,1228
58,False,6320526.0,1851586.0,1229
60,False,6325662.0,1851580.0,1231
61,True,6322670.0,1851579.0,1232
62,False,6318966.0,1851574.0,1233
63,False,6319332.0,1851574.0,1234
64,False,6319585.0,1851574.0,1235
65,False,6318555.999,1851571.0,1236
67,False,6321824.0,1851547.0,1238
68,False,6324695.0,1851543.0,1239
69,False,6325337.931,1851535.847,1240
73,False,6321716.0,1851296.0,1244
74,False,6322211.001,1851288.0,1245
75,False,6322656.0,1851275.0,1246
76,False,6325603.894,1851253.427,1247
77,False,6321174.0,1851246.0,1248
78,False,6320521.0,1851239.0,1249
80,False,6319328.001,1851235.0,1251
81,False,6319590.0,1851235.0,1252
82,False,6319709.162,1851234.455,1253
83,False,6323966.0,1851159.0,1254
85,False,6322315.0,1851126.0,1256
86,False,6322208.0,1851125.0,1257
87,False,6321681.0,1851122.0,1258
88,False,6324762.0,1851119.0,1259
91,False,6324657.001,1851087.0,1262
92,False,6321173.0,1851075.0,1263
93,False,6320518.0,1851069.0,1264
94,False,6318956.001,1851055.0,1265
95,False,6318544.0,1851051.0,1266
96,False,6318214.0,1851049.0,1267
97,False,6319326.0,1851049.0,1268
99,False,6325844.512,1851023.998,1270
100,False,6325718.236,1851000.387,1271
102,False,6325915.468,1850956.344,1273
103,False,6322634.0,1850922.0,1274
105,False,6321511.0,1850908.0,1276
106,False,6321172.0,1850906.0,1277
107,False,6320515.0,1850903.0,1278
108,False,6319189.0,1850896.0,1279
109,False,6319862.0,1850896.0,1280
110,False,6319324.0,1850895.0,1281
111,False,6319584.0,1850895.0,1282
112,False,6319047.0,1850894.0,1283
113,False,6318953.0,1850892.0,1284
114,False,6318790.0,1850889.0,1285
116,False,6318258.0,1850886.0,1287
117,False,6318211.0,1850885.0,1288
118,False,6317873.0,1850880.0,1289
122,False,6323637.001,1850862.0,1293
123,False,6325174.0,1850831.0,1294
125,False,6323636.0,1850777.0,1296
126,False,6315256.757,1850737.392,1297
130,False,6321638.0,1850633.999,1301
131,False,6322017.0,1850628.0,1302
132,False,6322955.001,1850622.0,1303
134,False,6322458.0,1850620.0,1305
135,False,6326023.826,1850616.542,1306
136,False,6323469.0,1850610.0,1307
138,False,6321496.0,1850590.0,1309
139,False,6321639.0,1850588.0,1310
140,False,6323942.0,1850580.0,1311
143,False,6321165.0,1850551.0,1314
144,False,6319857.0,1850540.999,1315
145,False,6319186.0,1850535.0,1316
148,False,6318527.0,1850528.0,1319
149,False,6318256.0,1850526.0,1320
150,False,6317867.997,1850524.897,1321
151,False,6325585.0,1850466.0,1322
152,False,6316955.0,1850447.999,1323
153,False,6324844.0,1850420.0,1324
154,False,6325155.0,1850416.999,1325
155,False,6315861.0,1850403.0,1326
156,False,6315675.0,1850401.0,1327
157,False,6325399.0,1850357.0,1328
158,False,6317050.698,1850355.586,1329
159,False,6317229.108,1850354.067,1330
161,False,6317863.0,1850334.0,1332
163,False,6318774.0,1850220.0,1334
164,False,6318522.001,1850219.0,1335
168,False,6324683.388,1850192.334,1339
169,False,6322935.0,1850105.0,1340
171,False,6323930.0,1850079.0,1342
172,False,6326614.0,1850019.0,1343
174,False,6325142.0,1849997.0,1345
175,False,6325742.001,1849993.0,1346
176,False,6321610.0,1849987.0,1347
