node_index,is_stop_only,node_lat,node_lon
0,False,32.74748983525234,-117.01833609527637
1,False,32.747442701837706,-117.02578825087043
2,False,32.74737222829878,-117.03124161273915
3,False,32.74744055801274,-117.01844901375944
4,False,32.74737159665643,-117.02154704937865
5,False,32.74731798906777,-117.02362638732566
6,False,32.74732023718114,-117.02213509174493
7,False,32.747219826897556,-117.02643753765054
8,False,32.74722263063081,-117.02017292465125
9,False,32.7471564805386,-117.0198024723267
10,False,32.74704584195474,-117.02412200774805
11,False,32.74706025218633,-117.01948674216511
12,False,32.74685851634671,-117.0312012820624
13,False,32.74687740497897,-117.01779861596505
14,False,32.746753849172485,-117.02250684377977
15,False,32.746671732394276,-117.01805042146133
16,False,32.74665356579159,-117.01884414216019
17,False,32.74658032465496,-117.02519500342048
18,False,32.74650256374912,-117.02488534771435
19,False,32.74651427671516,-117.01823854927851
20,False,32.74651183631321,-117.01855978026339
21,False,32.746496045424614,-117.01786203714047
22,False,32.7463692441218,-117.01841119637042
23,False,32.746318796324445,-117.01999548717211
24,False,32.74628377008161,-117.02515011415284
25,False,32.746248986850276,-117.02631088751683
26,False,32.746223139961494,-117.01858639637757
27,False,32.746140404195174,-117.02434553013997
28,False,32.74617652065457,-117.01824695825638
29,False,32.74565850326929,-117.03103127993437
30,False,32.745554556315454,-117.03614622542489
31,False,32.74554777568933,-117.03462083645114
32,False,32.745548250139166,-117.02716332024085
33,False,32.74558705069247,-117.01935043897008
34,False,32.745537004385305,-117.02633063299216
35,False,32.74553416726701,-117.02590780940379
36,False,32.74553348419895,-117.02557932141757
37,False,32.74552867255188,-117.02503289325847
38,False,32.74552455254694,-117.02437589319196
39,False,32.74549738649858,-117.02344875037154
40,False,32.74547630281942,-117.01949593574945
41,False,32.745348893181664,-117.03217984666132
42,False,32.74540708177695,-117.02294710478974
43,False,32.74523791303456,-117.03277728236733
44,False,32.7452537785066,-117.01977152941669
45,False,32.74519787935886,-117.02124107305146
46,False,32.74491806756338,-117.04283698550397
47,False,32.744968619311635,-117.03059911651425
48,False,32.74500729192469,-117.02007183772652
49,False,32.7448731516213,-117.02174558508996
50,False,32.74472839088244,-117.04284178334424
51,False,32.744637454815,-117.03729910208578
52,False,32.7446192599321,-117.03021225436053
53,False,32.74460888346038,-117.0306490683348
54,False,32.74457411046368,-117.03213394177347
55,False,32.74458522045789,-117.029945267407
56,False,32.74456196738839,-117.03274851158842
57,False,32.74464866800232,-117.01737202178758
58,False,32.74454151522784,-117.03423786587088
59,False,32.74463671019131,-117.0174774893157
60,False,32.74463006645334,-117.01753502899902
61,True,32.7445664008235,-117.02726523716949
62,False,32.74447618247572,-117.03931081045287
63,False,32.74448379165936,-117.03812055107595
64,False,32.74448904484725,-117.03729777603137
65,False,32.74445939987328,-117.0406440901461
66,False,32.74444263539539,-117.04111551416975
67,False,32.74446109035418,-117.03001571833482
68,False,32.74450877377339,-117.02067890534195
69,False,32.74450215814897,-117.01858787046238
70,False,32.74433171985219,-117.0195423211234
71,False,32.74409317267398,-117.03212642052509
