node_index,is_stop_only,pos_x,pos_y,actual_nodes
966,False,6302333.0,1822958.0,106965
999,False,6302438.0,1822644.0,106971
887,False,6302132.001,1823587.0,106977
923,False,6302236.0,1823272.999,102882
289,False,6300412.0,1828942.999,106984
323,False,6300513.0,1828628.0,102895
402,False,6300719.0,1827997.0,106994
423,False,6300769.0,1827836.0,176628
1036,False,6303629.0,1822164.0,176629
1077,False,6303781.0,1821688.0,107004
906,False,6303227.0,1823423.0,107006
924,False,6303278.0,1823265.0,102913
160,False,6301038.0,1830178.0,107011
670,False,6302933.0,1825424.0,107017
682,False,6302961.0,1825332.0,107018
274,False,6301783.0,1829020.0,107021
298,False,6301831.0,1828866.0,102927
1006,False,6306195.0,1822577.0,107023
1032,False,6306141.0,1822249.999,107027
196,False,6302935.0,1829754.0,107028
206,False,6302987.0,1829599.0,107033
1019,False,6302531.0,1822449.0,107034
1047,False,6302634.0,1822029.0,107037
717,False,6302721.001,1824992.0,107038
1107,False,6304245.0,1821327.0,107041
1131,False,6304298.0,1821153.0,107043
314,False,6301877.0,1828720.0,107052
429,False,6302173.0,1827770.0,102961
463,False,6302274.0,1827453.0,102967
757,False,6306347.999,1824604.0,107063
843,False,6306539.0,1823969.0,102970
218,False,6303037.0,1829452.0,176709
740,False,6297212.0,1824778.0,102982
745,False,6297053.999,1824727.001,102988
664,False,6300480.0,1825502.001,107092
646,False,6301105.0,1825687.0,107095
503,False,6305490.0,1827107.0,103003
499,False,6305661.0,1827164.0,107107
676,False,6301211.0,1825377.0,103015
716,False,6300105.0,1825012.0,103027
711,False,6300267.0,1825068.001,107125
612,False,6303103.0,1825984.0,107138
594,False,6303731.0,1826188.0,103054
766,False,6299734.0,1824550.0,103063
758,False,6299896.0,1824602.0,103065
648,False,6303202.0,1825670.0,103069
624,False,6303832.0,1825874.001,103070
743,False,6300367.0,1824754.0,103077
726,False,6300839.0,1824905.0,103079
678,False,6302252.0,1825361.0,103096
575,False,6305274.0,1826341.999,107194
853,False,6297669.0,1823886.0,103101
872,False,6297201.0,1823735.001,103103
721,False,6302041.091,1824947.092,103106
714,False,6302327.0,1825038.0,103107
894,False,6297612.0,1823524.0,107204
899,False,6297459.0,1823476.0,107206
904,False,6297301.0,1823426.0,103111
884,False,6298982.0,1823613.999,103113
879,False,6299145.0,1823665.0,103117
828,False,6300414.0,1824074.0,103125
709,False,6303567.0,1825093.0,103126
703,False,6303720.0,1825142.0,103149
627,False,6305890.0,1825836.0,103151
610,False,6306397.0,1826000.999,103158
19,False,6306578.534,1826065.778,103159
987,False,6297500.0,1822792.0,103170
992,False,6297345.0,1822745.999,103174
251,False,6298953.0,1829165.0,103184
277,False,6299001.001,1829007.0,103190
974,False,6305829.0,1822897.0,103196
979,False,6305654.0,1822862.0,103198
701,False,6301629.429,1825163.973,103203
742,False,6301753.715,1824762.832,103209
850,False,6302031.0,1823902.0,103214
413,False,6298312.0,1827911.0,103218
405,False,6298469.0,1827959.0,103224
302,False,6301146.0,1828832.0,103232
290,False,6301452.0,1828928.0,103236
273,False,6302823.0,1829024.0,103238
385,False,6300142.0,1828159.0,103250
376,False,6300301.0,1828212.0,103252
354,False,6300930.0,1828415.0,103253
340,False,6301248.0,1828514.0,103254
197,False,6305043.001,1829741.0,103263
192,False,6305344.0,1829841.999,103271
765,False,6298682.0,1824555.0,103273
847,False,6298883.0,1823927.0,103278
564,False,6298076.0,1826446.0,103280
601,False,6298175.0,1826130.0,103281
223,False,6297598.0,1829417.0,103282
221,False,6297624.0,1829425.0,103292
243,False,6296999.0,1829223.0,103295
237,False,6297168.0,1829276.0,103297
71,False,6302413.999,1830956.0,103299
64,False,6302572.0,1831003.0,103309
1045,False,6301581.0,1822059.0,103316
1053,False,6301609.0,1821972.0,103317
388,False,6298941.999,1828115.0,152468
384,False,6299101.0,1828161.0,103325
375,False,6299256.0,1828218.0,103329
445,False,6298571.0,1827649.0,103332
401,False,6299672.0,1828005.0,103333
397,False,6299830.0,1828057.0,103336
371,False,6300460.999,1828261.001,103338
1023,False,6299385.0,1822358.0,103341
1072,False,6299587.0,1821725.999,103343
1097,False,6299687.0,1821411.0,103358
1137,True,6299788.0,1821098.0,103361
997,False,6299285.0,1822670.0,103363
730,False,6298578.0,1824873.0,103366
438,False,6297672.0,1827704.0,103370
471,False,6297775.0,1827390.0,103373
167,False,6300495.0,1818886.0,103375
170,False,6300507.413,1818846.136,185311
201,False,6298444.0,1829686.999,103393
199,False,6298528.0,1829714.0,103394
92,False,6302130.0,1830869.0,185315
79,False,6302296.0,1830920.0,103396
14,False,6303861.0,1831421.0,103397
12,False,6303910.0,1831435.0,185314
208,False,6299167.0,1829576.0,103400
222,False,6299215.0,1829422.0,103402
239,False,6299264.0,1829265.0,103405
288,False,6299371.0,1828952.0,103407
227,False,6297415.0,1829358.0,103409
271,False,6297518.0,1829046.0,103410
214,False,6297833.0,1829492.0,103412
248,False,6297908.0,1829167.0,185333
209,False,6298045.0,1829559.0,185335
241,False,6298146.0,1829244.0,103416
351,False,6305120.0,1828438.0,103422
344,False,6305247.0,1828485.0,103425
969,False,6303379.0,1822949.0,103428
990,False,6303398.0,1822778.0,103431
1121,False,6303928.0,1821228.0,103432
1142,False,6303981.0,1821054.0,103435
1069,False,6304093.0,1821790.0,103436
129,False,6304118.0,1830427.0,103438
598,False,6296073.0,1826146.0,103440
628,False,6296176.0,1825832.0,103444
637,False,6300239.0,1825752.999,103446
528,False,6300355.0,1826837.0,103447
1009,False,6300722.0,1822562.0,103448
971,False,6301311.0,1822914.0,103451
603,False,6300143.0,1826051.0,103452
386,False,6304377.0,1828148.0,103454
496,False,6304794.0,1827184.0,103457
310,False,6304119.0,1828748.0,103458
558,False,6297102.0,1826479.0,177192
659,False,6296732.0,1825535.999,103465
488,False,6304566.0,1827271.0,103467
506,False,6304611.0,1827102.0,177196
1150,False,6297415.0,1820973.0,177199
1158,False,6297460.0,1820883.0,103472
1074,False,6306805.084,1821712.517,103473
76,False,6307019.808,1821301.276,103480
621,False,6301036.0,1825918.0,103488
447,False,6306028.0,1827628.0,103492
437,False,6306325.246,1827723.785,103499
762,False,6296548.0,1824566.0,103501
767,False,6296478.0,1824543.999,103502
760,False,6296619.0,1824588.0,103505
704,False,6298317.138,1825129.386,103507
710,True,6298155.0,1825082.0,103511
