from_node,to_node,distance,travel_time,source_edge_id
372,366,75.375012491736,8.430435887759346,620.0
366,372,75.375012491736,8.430435887759346,620.0
309,299,100.820462992656,11.276422004268174,735.0
299,309,100.820462992656,11.276422004268174,735.0
113,100,227.24437208997603,25.41650138988321,742.0
100,113,227.24437208997603,25.41650138988321,742.0
103,98,52.357630864920004,5.856020923247902,4317.0
98,103,52.357630864920004,5.856020923247902,4317.0
764,799,100.659794085648,11.258451739655138,19750.0
799,764,100.659794085648,11.258451739655138,19750.0
832,874,101.605892630328,11.36426960768271,19771.0
874,832,101.605892630328,11.36426960768271,19771.0
120,147,162.93633615055202,18.22386876359372,23203.0
147,120,162.93633615055202,18.22386876359372,23203.0
49,84,95.624654850384,10.695288735025605,23205.0
84,49,95.624654850384,10.695288735025605,23205.0
1052,1073,79.15005177628801,8.852661047133985,23210.0
1073,1052,79.15005177628801,8.852661047133985,23210.0
808,836,47.71361435769601,5.33660365044625,23218.0
836,808,47.71361435769601,5.33660365044625,23218.0
379,414,90.608176480008,10.134212883947992,612.0
414,379,90.608176480008,10.134212883947992,612.0
414,446,99.401393385792,11.11770394976375,613.0
446,414,99.401393385792,11.11770394976375,613.0
378,379,49.110098662512,5.492795616600872,617.0
379,378,49.110098662512,5.492795616600872,617.0
217,185,397.17909306720003,44.42311542473768,740.0
185,217,397.17909306720003,44.42311542473768,740.0
185,187,90.59342885088,10.132563412355882,741.0
187,185,90.59342885088,10.132563412355882,741.0
107,119,183.4267020816,20.51564571444156,4255.0
119,107,183.4267020816,20.51564571444156,4255.0
94,84,49.8653172618,5.5772642192858655,4319.0
84,94,49.8653172618,5.5772642192858655,4319.0
352,369,50.315085609912,5.6275692620016775,23195.0
369,352,50.315085609912,5.6275692620016775,23195.0
268,294,51.384796388952005,5.747212733266516,23198.0
294,268,51.384796388952005,5.747212733266516,23198.0
1124,10,203.003335040016,22.705224775170965,23202.0
10,1124,203.003335040016,22.705224775170965,23202.0
84,120,111.91311184312801,12.517096623984948,23204.0
120,84,111.91311184312801,12.517096623984948,23204.0
752,808,152.87292541228803,17.098310886566168,23217.0
808,752,152.87292541228803,17.098310886566168,23217.0
312,353,101.31517155264,11.331753455105783,30570.0
353,312,101.31517155264,11.331753455105783,30570.0
592,578,98.91499664256,11.063302147040575,2822.0
578,592,98.91499664256,11.063302147040575,2822.0
750,759,76.82442733128,4.910027401236426,2840.0
759,750,76.82442733128,4.910027401236426,2840.0
482,483,56.314668341736,6.298601954427377,2939.0
483,482,56.314668341736,6.298601954427377,2939.0
800,795,52.62713554003201,5.886164094172514,3086.0
795,800,52.62713554003201,5.886164094172514,3086.0
736,733,49.54842712596,5.541821147565575,3091.0
733,736,49.54842712596,5.541821147565575,3091.0
720,712,104.38632409968001,11.67525130397431,3096.0
712,720,104.38632409968001,11.67525130397431,3096.0
712,706,45.785992372968,5.121005761691452,3098.0
706,712,45.785992372968,5.121005761691452,3098.0
656,614,388.95128863790404,43.50286379962773,3190.0
614,656,388.95128863790404,43.50286379962773,3190.0
754,748,53.11300181544,3.3945751805109534,3235.0
748,754,53.11300181544,3.3945751805109534,3235.0
623,617,55.518799169952,3.5483352714458114,3261.0
617,623,55.518799169952,3.5483352714458114,3261.0
565,631,201.56039366784003,22.54383674582558,14300.0
631,565,201.56039366784003,22.54383674582558,14300.0
440,472,99.87863950267202,11.171082286403896,14303.0
472,440,99.87863950267202,11.171082286403896,14303.0
59,98,93.593454571416,10.468105970327342,14305.0
98,59,93.593454571416,10.468105970327342,14305.0
520,540,102.00741194616,11.409178162095088,25352.0
540,520,102.00741194616,11.409178162095088,25352.0
300,337,101.210123951712,11.320004242263089,25357.0
337,300,101.210123951712,11.320004242263089,25357.0
821,873,126.65384441392801,14.165796859893502,25362.0
873,821,126.65384441392801,14.165796859893502,25362.0
609,618,21.560476473576003,2.411465134283786,25366.0
618,609,21.560476473576003,2.411465134283786,25366.0
439,462,82.702977104256,9.250043524446536,33099.0
462,439,82.702977104256,9.250043524446536,33099.0
605,592,107.935885246416,12.07225750918748,2824.0
592,605,107.935885246416,12.07225750918748,2824.0
722,728,51.999451719456005,3.323405610182055,2831.0
728,722,51.999451719456005,3.323405610182055,2831.0
746,751,51.568881315168,5.767801999086366,2943.0
751,746,51.568881315168,5.767801999086366,2943.0
822,829,111.57362102198401,12.479125743350584,2945.0
829,822,111.57362102198401,12.479125743350584,2945.0
665,654,100.260206104536,11.213759198388184,3023.0
654,665,100.260206104536,11.213759198388184,3023.0
699,694,51.036189295464,5.708222228926752,3026.0
694,699,51.036189295464,5.708222228926752,3026.0
671,665,54.650784496536005,6.1125022694266615,3033.0
665,671,54.650784496536005,6.1125022694266615,3033.0
654,647,99.77021710432801,11.158955614078153,3034.0
647,654,99.77021710432801,11.158955614078153,3034.0
823,830,49.951875322872006,5.586945440692181,3038.0
830,823,49.951875322872006,5.586945440692181,3038.0
788,799,100.322805413424,11.2207607157711,3042.0
799,788,100.322805413424,11.2207607157711,3042.0
779,773,50.699424541512,3.240317856875001,3087.0
773,779,50.699424541512,3.240317856875001,3087.0
667,655,101.109465931032,11.308745988872754,3100.0
655,667,101.109465931032,11.308745988872754,3100.0
571,566,44.53210405728001,4.980762666448486,3104.0
566,571,44.53210405728001,4.980762666448486,3104.0
566,552,108.437990116728,12.128416211894974,3105.0
552,566,108.437990116728,12.128416211894974,3105.0
552,544,71.62281172792801,8.010765138374687,3113.0
544,552,71.62281172792801,8.010765138374687,3113.0
858,867,49.45749832128,5.531651073520288,3134.0
867,858,49.45749832128,5.531651073520288,3134.0
840,818,150.56246616021602,16.839893966263716,3184.0
818,840,150.56246616021602,16.839893966263716,3184.0
687,677,100.907034961752,11.286104781239134,3189.0
677,687,100.907034961752,11.286104781239134,3189.0
874,877,49.951787912328,5.586935664123491,3194.0
877,874,49.951787912328,5.586935664123491,3194.0
883,889,49.6412443038,5.552202429653569,3195.0
889,883,49.6412443038,5.552202429653569,3195.0
900,907,48.77742312669601,3.1174782869649325,3213.0
907,900,48.77742312669601,3.1174782869649325,3213.0
885,895,91.281875279928,5.834036444267821,3215.0
895,885,91.281875279928,5.834036444267821,3215.0
739,734,49.735664699160004,3.178721729203862,3220.0
734,739,49.735664699160004,3.178721729203862,3220.0
748,744,48.404696764200004,3.093656480326181,3222.0
744,748,48.404696764200004,3.093656480326181,3222.0
761,754,49.735759964399996,3.178727817826388,3236.0
754,761,49.735759964399996,3.178727817826388,3236.0
697,691,50.130103050744,3.203931199442079,3256.0
691,697,50.130103050744,3.203931199442079,3256.0
649,643,40.386862632768,2.581218097751077,3259.0
643,649,40.386862632768,2.581218097751077,3259.0
921,960,90.217710757512,10.090540635930374,14307.0
960,921,90.217710757512,10.090540635930374,14307.0
785,827,102.754223737776,11.492706492257971,14309.0
827,785,102.754223737776,11.492706492257971,14309.0
487,520,99.18155562684001,11.09311585257761,25351.0
520,487,99.18155562684001,11.09311585257761,25351.0
453,487,100.35172729106401,11.223995528305618,25355.0
487,453,100.35172729106401,11.223995528305618,25355.0
896,937,99.95637150062402,11.179776343008314,25363.0
937,896,99.95637150062402,11.179776343008314,25363.0
566,633,204.161401657584,22.83475054306695,33095.0
633,566,204.161401657584,22.83475054306695,33095.0
972,1003,100.153124393376,11.201782477312552,45287.0
1003,972,100.153124393376,11.201782477312552,45287.0
604,638,101.021774620512,22.597876034827195,45292.0
638,604,101.021774620512,22.597876034827195,45292.0
822,972,386.347464122424,43.21163498367049,45286.0
972,822,386.347464122424,43.21163498367049,45286.0
1029,1080,201.65324748263998,22.554222125631533,45288.0
1080,1029,201.65324748263998,22.554222125631533,45288.0
966,999,100.91642159779201,11.287154644193992,37018.0
999,966,100.91642159779201,11.287154644193992,37018.0
887,923,100.820367148296,11.276411284406173,37026.0
923,887,100.820367148296,11.276411284406173,37026.0
289,323,100.82633349552002,11.277078599821364,37028.0
323,289,100.82633349552002,11.277078599821364,37028.0
402,423,51.384796388952005,5.747212733266516,37030.0
423,402,51.384796388952005,5.747212733266516,37030.0
1036,1077,152.302432767144,17.034503246469896,40357.0
1077,1036,152.302432767144,17.034503246469896,40357.0
906,924,50.605061975856,5.660002121131543,40363.0
924,906,50.605061975856,5.660002121131543,40363.0
160,185,99.95627762527201,11.179765843373085,40374.0
185,160,99.95627762527201,11.179765843373085,40374.0
670,682,29.311555978752004,3.2783967163711,43709.0
682,670,29.311555978752004,3.2783967163711,43709.0
274,298,49.166422492968,5.499095243306265,43713.0
298,274,49.166422492968,5.499095243306265,43713.0
1006,1032,102.01143687892801,11.409628336981054,53782.0
1032,1006,102.01143687892801,11.409628336981054,53782.0
552,623,205.13923131177603,22.94411742655131,53794.0
623,552,205.13923131177603,22.94411742655131,53794.0
196,206,49.831770550128006,5.573512134972421,53892.0
206,196,49.831770550128006,5.573512134972421,53892.0
1019,1047,133.081242048312,14.88467917766096,37019.0
1047,1019,133.081242048312,14.88467917766096,37019.0
717,734,49.931319741936,5.584646369667342,40368.0
734,717,49.931319741936,5.584646369667342,40368.0
1107,1131,55.440933239832006,6.200877688573436,43711.0
1131,1107,55.440933239832006,6.200877688573436,43711.0
298,314,46.65730418076001,5.218458990434113,43714.0
314,298,46.65730418076001,5.218458990434113,43714.0
429,463,101.40728523074401,11.34205605316806,43715.0
463,429,101.40728523074401,11.34205605316806,43715.0
757,843,202.75009490743201,22.67690073738469,53788.0
843,757,202.75009490743201,22.67690073738469,53788.0
206,218,47.326518903288004,5.29330835532192,53893.0
218,206,47.326518903288004,5.29330835532192,53893.0
740,745,50.605258413360005,3.234299481137543,2833.0
745,740,50.605258413360005,3.234299481137543,2833.0
664,646,199.725909717816,22.3386560258954,2927.0
646,664,199.725909717816,22.3386560258954,2927.0
503,499,54.940147156824004,6.144866487689801,2936.0
499,503,54.940147156824004,6.144866487689801,2936.0
676,671,46.478044427520004,5.198409403614992,3024.0
671,676,46.478044427520004,5.198409403614992,3024.0
716,711,52.244633412480006,5.843382546857849,3028.0
711,716,52.244633412480006,5.843382546857849,3028.0
612,594,201.26034244269601,22.51027704834762,3035.0
594,612,201.26034244269601,22.51027704834762,3035.0
766,758,51.859012735920004,5.800252200563182,3084.0
758,766,51.859012735920004,5.800252200563182,3084.0
648,624,201.84030170644803,22.575143497173872,3088.0
624,648,201.84030170644803,22.575143497173872,3088.0
743,736,50.024995779120005,5.595123712218836,3090.0
736,743,50.024995779120005,5.595123712218836,3090.0
726,720,47.3304447852,5.293747451710337,3097.0
720,726,47.3304447852,5.293747451710337,3097.0
678,667,102.080700828792,11.417375271533476,3102.0
667,678,102.080700828792,11.417375271533476,3102.0
575,571,33.060710565264,3.697726761302816,3110.0
571,575,33.060710565264,3.697726761302816,3110.0
853,858,50.506748778528,5.649006128167891,3131.0
858,853,50.506748778528,5.649006128167891,3131.0
867,872,49.931319741936,5.584646369667342,3132.0
872,867,49.931319741936,5.584646369667342,3132.0
721,714,91.44417604346401,10.227716559621458,3187.0
714,721,91.44417604346401,10.227716559621458,3187.0
894,899,48.875513987664,5.466558127595165,3192.0
899,894,48.875513987664,5.466558127595165,3192.0
899,904,50.512266734472,5.649623292560698,3193.0
904,899,50.512266734472,5.649623292560698,3193.0
884,879,52.05757536648,3.3271204273237043,3219.0
879,884,52.05757536648,3.3271204273237043,3219.0
744,739,50.41008681996,3.2218256117599733,3221.0
739,744,50.41008681996,3.2218256117599733,3221.0
836,828,51.295222962816,3.278396716371099,3230.0
828,836,51.295222962816,3.278396716371099,3230.0
709,703,48.967616467416,3.129633984663022,3253.0
703,709,48.967616467416,3.129633984663022,3253.0
633,627,54.275800273176,3.468892327907047,3254.0
627,633,54.275800273176,3.468892327907047,3254.0
610,19,58.748894995752,3.754778190244373,3264.0
19,610,58.748894995752,3.754778190244373,3264.0
987,992,49.280695164600004,5.5118762485767085,3271.0
992,987,49.280695164600004,5.5118762485767085,3271.0
251,277,50.33178929304,5.629437511505656,25359.0
277,251,50.33178929304,5.629437511505656,25359.0
711,743,100.443799586472,11.234293497855688,25360.0
743,711,100.443799586472,11.234293497855688,25360.0
974,979,54.488891729136,6.094395120238364,33094.0
979,974,54.488891729136,6.094395120238364,33094.0
701,742,129.15302434113602,14.445321538587416,37022.0
742,701,129.15302434113602,14.445321538587416,37022.0
850,887,100.826716805904,11.277121471769382,37024.0
887,850,100.826716805904,11.277121471769382,37024.0
413,405,50.04014026089601,5.596817570414614,1595.0
405,413,50.04014026089601,5.596817570414614,1595.0
302,290,97.751027975328,10.93311625519033,1600.0
290,302,97.751027975328,10.93311625519033,1600.0
314,273,302.865185512512,33.87442926629713,1778.0
273,314,302.865185512512,33.87442926629713,1778.0
385,376,51.084698233752,5.713647786823212,1780.0
376,385,51.084698233752,5.713647786823212,1780.0
354,340,101.514874339416,11.35408952491017,1787.0
340,354,101.514874339416,11.35408952491017,1787.0
197,192,96.771574057176,10.823567703368855,1790.0
192,197,96.771574057176,10.823567703368855,1790.0
765,800,99.969288894144,6.38926920516739,13317.0
800,765,99.969288894144,6.38926920516739,13317.0
800,847,101.014417263624,6.456065784201139,13318.0
847,800,101.014417263624,6.456065784201139,13318.0
564,601,100.93299093727201,6.450861638756016,13323.0
601,564,100.93299093727201,6.450861638756016,13323.0
223,221,8.29145643204,0.5299262186741783,24588.0
221,223,8.29145643204,0.5299262186741783,24588.0
243,237,53.98489015243201,3.450299587111328,24592.0
237,243,53.98489015243201,3.450299587111328,24592.0
71,64,50.244240101616,3.2112259631877462,24659.0
64,71,50.244240101616,3.2112259631877462,24659.0
1045,1053,27.857119254408,3.115722971425065,28339.0
1053,1045,27.857119254408,3.115722971425065,28339.0
388,384,50.45090812008,5.642760542589676,1590.0
384,388,50.45090812008,5.642760542589676,1590.0
384,375,50.33723783688,5.6300469123933805,1596.0
375,384,50.33723783688,5.6300469123933805,1596.0
445,440,51.384796388952005,5.747212733266516,1769.0
440,445,51.384796388952005,5.747212733266516,1769.0
401,397,50.699519828088,5.6705669070070295,1783.0
397,401,50.699519828088,5.6705669070070295,1783.0
376,371,51.003503790096005,5.704566467576211,1784.0
371,376,51.003503790096005,5.704566467576211,1784.0
1023,1072,202.234114142088,12.925251464883036,13307.0
1072,1023,202.234114142088,12.925251464883036,13307.0
1097,1137,100.246305849888,6.406974001552594,13309.0
1137,1097,100.246305849888,6.406974001552594,13309.0
997,1023,99.86282554598401,6.382464885566819,13313.0
1023,997,99.86282554598401,6.382464885566819,13313.0
730,765,101.978263849008,6.5176674558207175,13314.0
765,730,101.978263849008,6.5176674558207175,13314.0
438,471,100.72475605783201,6.437552864457776,13332.0
471,438,100.72475605783201,6.437552864457776,13332.0
167,170,12.725978964552,0.8133468428480845,13336.0
170,167,12.725978964552,0.8133468428480845,13336.0
201,199,26.893404083544002,1.7188198539159163,24608.0
199,201,26.893404083544002,1.7188198539159163,24608.0
92,79,52.93086979464,3.382934700473083,24653.0
79,92,52.93086979464,3.382934700473083,24653.0
14,12,15.532842458256003,0.992740001305192,24668.0
12,14,15.532842458256003,0.992740001305192,24668.0
208,222,49.166422492968,5.499095243306265,28333.0
222,208,49.166422492968,5.499095243306265,28333.0
239,288,100.82293801742401,11.276698827275393,28334.0
288,239,100.82293801742401,11.276698827275393,28334.0
227,271,100.14570341253601,11.20095246613076,140290.0
271,227,100.14570341253601,11.20095246613076,140290.0
214,248,104.186147129448,11.652862198381367,140294.0
248,214,104.186147129448,11.652862198381367,140294.0
209,241,100.82662374131999,11.277111062815766,140296.0
241,209,100.82662374131999,11.277111062815766,140296.0
351,344,41.275367321592,4.616507864413944,621.0
344,351,41.275367321592,4.616507864413944,621.0
969,990,58.09728036400801,6.497980977656869,40365.0
990,969,58.09728036400801,6.497980977656869,40365.0
1121,1142,55.440933239832006,6.200877688573436,40371.0
1142,1121,55.440933239832006,6.200877688573436,40371.0
1069,1107,148.558192586856,16.61572286097077,43710.0
1107,1069,148.558192586856,16.61572286097077,43710.0
113,129,75.76840010018401,8.474434938670594,61789.0
129,113,75.76840010018401,8.474434938670594,61789.0
598,628,100.72475605783201,22.531435025602217,112699.0
628,598,100.72475605783201,22.531435025602217,112699.0
637,528,401.35908900691203,89.78126718621095,112722.0
528,637,401.35908900691203,89.78126718621095,112722.0
1009,971,209.14366786473602,46.78399976272782,112723.0
971,1009,209.14366786473602,46.78399976272782,112723.0
609,603,62.42381184808801,13.963777285278898,112726.0
603,609,62.42381184808801,13.963777285278898,112726.0
386,496,320.13940742018406,11.935497190120024,116390.0
496,386,320.13940742018406,11.935497190120024,116390.0
310,386,199.070571908352,7.421786248667617,116391.0
386,310,199.070571908352,7.421786248667617,116391.0
558,659,308.76012853896003,11.511252789198208,116728.0
659,558,308.76012853896003,11.511252789198208,116728.0
386,488,273.496040990568,20.39306097963414,121042.0
488,386,273.496040990568,20.39306097963414,121042.0
488,506,53.420649659376,4.779932735243783,121043.0
506,488,53.420649659376,4.779932735243783,121043.0
1150,1158,30.700933548480002,2.74703505492033,134437.0
1158,1150,30.700933548480002,2.74703505492033,134437.0
1074,76,141.403990446216,7.907774979545501,134527.0
76,1074,141.403990446216,7.907774979545501,134527.0
621,605,100.62564588775201,11.254632381176409,2823.0
605,621,100.62564588775201,11.254632381176409,2823.0
447,437,95.188386450888,10.646493615128149,2827.0
437,447,95.188386450888,10.646493615128149,2827.0
762,767,22.365018558672002,1.4294002281163647,2837.0
767,762,22.365018558672002,1.4294002281163647,2837.0
759,760,11.855897247264,0.7577379015047694,2841.0
760,759,11.855897247264,0.7577379015047694,2841.0
745,750,50.51235869568,3.2283620446317167,2842.0
750,745,50.51235869568,3.2283620446317167,2842.0
704,710,51.486994311048,3.290653268190624,2848.0
710,704,51.486994311048,3.290653268190624,2848.0
567,554,101.91886703409601,11.399274718239278,2933.0
554,567,101.91886703409601,11.399274718239278,2933.0
735,741,49.351252228464,5.519767813482242,2941.0
741,735,49.351252228464,5.519767813482242,2941.0
741,746,49.548518998776004,5.541831423224039,2942.0
746,741,49.548518998776004,5.541831423224039,2942.0
496,580,290.186099622576,10.81877237347188,116359.0
580,496,290.186099622576,10.81877237347188,116359.0
1074,1116,167.522678587704,6.245611796677735,116366.0
1116,1074,167.522678587704,6.245611796677735,116366.0
506,529,91.92689172014401,6.854471098474777,121038.0
529,506,91.92689172014401,6.854471098474777,121038.0
1141,1153,41.194357675128,3.685957771277793,134432.0
1153,1141,41.194357675128,3.685957771277793,134432.0
715,718,50.699519828088,3.24032394686116,2845.0
718,715,50.699519828088,3.24032394686116,2845.0
593,582,103.632377092464,11.590924924488808,2931.0
582,593,103.632377092464,11.590924924488808,2931.0
512,503,48.38741999916,5.411966493826151,2935.0
503,512,48.38741999916,5.411966493826151,2935.0
783,787,49.83922732668,5.574346149781479,2946.0
787,783,49.83922732668,5.574346149781479,2946.0
694,689,46.30582351212,5.17914708659753,3025.0
689,694,46.30582351212,5.17914708659753,3025.0
795,779,153.755120222952,17.19698134174695,3085.0
779,795,153.755120222952,17.19698134174695,3085.0
839,846,51.278920076448,5.735370831884473,3137.0
846,839,51.278920076448,5.735370831884473,3137.0
806,815,50.41008681996,5.638194820579954,3141.0
815,806,50.41008681996,5.638194820579954,3141.0
677,656,201.620366112792,22.5505444575126,3186.0
656,677,201.620366112792,22.5505444575126,3186.0
728,740,100.627401544896,6.43133071165098,2832.0
740,728,100.627401544896,6.43133071165098,2832.0
710,715,50.89521157488,3.2528310604488886,2844.0
715,710,50.89521157488,3.2528310604488886,2844.0
484,482,11.566346769216002,1.293656102599767,2940.0
482,484,11.566346769216002,1.293656102599767,2940.0
770,775,49.536253011624005,5.540459514751103,2947.0
775,770,49.536253011624005,5.540459514751103,2947.0
775,783,51.016133394504,5.705979045388534,2948.0
783,775,51.016133394504,5.705979045388534,2948.0
730,735,53.88067461588,6.026368128140618,2951.0
735,730,53.88067461588,6.026368128140618,2951.0
729,723,40.386862632768,4.5171316710643845,3030.0
723,729,40.386862632768,4.5171316710643845,3030.0
705,699,49.25420879136001,5.508913838832185,3032.0
699,705,49.25420879136001,5.508913838832185,3032.0
799,805,50.41824515772,5.63910730259704,3037.0
805,799,50.41824515772,5.63910730259704,3037.0
