from_node,to_node,distance,travel_time,link_type
5222,5221,0.036034221,0.022521388124999996,0
5221,5222,0.036034221,0.022521388124999996,0
5251,5252,0.266047256,0.166279535,0
5252,5251,0.266047256,0.166279535,0
5245,6356,0.309468052,0.1934175325,0
6356,5245,0.309468052,0.1934175325,0
5253,5254,0.370075112,0.23129694499999998,0
5254,5253,0.370075112,0.23129694499999998,0
13011,6081,0.395766347,0.247353966875,0
6081,13011,0.395766347,0.247353966875,0
3309,5221,0.782982438,0.48936402375,0
5221,3309,0.782982438,0.48936402375,0
4790,13011,0.789779832,0.493612395,0
13011,4790,0.789779832,0.493612395,0
5208,16446,0.909540208,0.56846263,0
16446,5208,0.909540208,0.56846263,0
4347,4344,0.975910054,0.6099437837499999,0
4344,4347,0.975910054,0.6099437837499999,0
5209,16238,1.102789446,0.68924340375,0
16238,5209,1.102789446,0.68924340375,0
9016,13231,1.112417368,0.695260855,0
13231,9016,1.112417368,0.695260855,0
15031,5300,1.15486908,0.7217931750000001,0
5300,15031,1.15486908,0.7217931750000001,0
12895,4504,1.187875003,0.7424218768749999,0
4504,12895,1.187875003,0.7424218768749999,0
1826,1829,1.194500684,0.7465629275,0
1829,1826,1.194500684,0.7465629275,0
3316,3318,1.292930556,0.8080815975,0
3318,3316,1.292930556,0.8080815975,0
12667,12681,1.430230005,0.893893753125,0
12681,12667,1.430230005,0.893893753125,0
8695,8691,1.512794869,0.9454967931249999,0
8691,8695,1.512794869,0.9454967931249999,0
2779,2782,1.678561828,1.0491011425,0
2782,2779,1.678561828,1.0491011425,0
99,98,1.777328083,1.1108300518749998,0
98,99,1.777328083,1.1108300518749998,0
556,555,1.822725818,1.13920363625,0
555,556,1.822725818,1.13920363625,0
8307,8306,1.854026019,1.1587662618749999,0
8306,8307,1.854026019,1.1587662618749999,0
16525,5207,1.878873212,1.1742957575,0
5207,16525,1.878873212,1.1742957575,0
10165,5285,1.910326566,1.1939541037499999,0
5285,10165,1.910326566,1.1939541037499999,0
12670,11692,1.9224765,1.2015478124999999,0
11692,12670,1.9224765,1.2015478124999999,0
8167,8169,1.951434277,1.219646423125,0
8169,8167,1.951434277,1.219646423125,0
3946,3945,1.955005378,1.22187836125,0
3945,3946,1.955005378,1.22187836125,0
12472,12470,2.010355156,1.2564719725,0
12470,12472,2.010355156,1.2564719725,0
14447,14453,2.076378899,1.297736811875,0
14453,14447,2.076378899,1.297736811875,0
15802,15804,2.222105492,1.3888159324999998,0
15804,15802,2.222105492,1.3888159324999998,0
1836,1828,2.259011124,1.4118819525,0
1828,1836,2.259011124,1.4118819525,0
5226,5290,2.340865009,1.463040630625,0
5290,5226,2.340865009,1.463040630625,0
