stop_id,stop_lat,stop_lon,string_id,walk_node
12131,32.69404973,-117.1024666,12131,2214
12514,32.69384496,-117.1022696,12514,2214
11724,32.696003,-117.1025993,11724,4570
12530,32.72002491,-117.0934026,12530,15016
12529,32.71669902,-117.0934326,12529,15526
12151,32.71406692,-117.0936935,12151,15877
12154,32.72088083,-117.0936384,12154,14936
12531,32.72122317,-117.0934141,12531,14847
12527,32.7120654,-117.0933818,12527,16196
11738,32.71025999,-117.0937318,11738,16516
12528,32.71490964,-117.093448,12528,15792
12152,32.71785727,-117.093668,12152,15381
12150,32.70337456,-117.093796,12150,814
88890,32.70373879,-117.0935066,88890,814
12878,32.6973678,-117.0935825,12878,1835
12149,32.70020269,-117.0938111,12149,1327
12880,32.7007264,-117.0935918,12880,1327
11737,32.69828973,-117.0938123,11737,1570
12879,32.69885748,-117.0935837,12879,1570
88891,32.70832954,-117.0937979,88891,135
75070,32.70843908,-117.0948191,75070,87
75071,32.70844807,-117.0950721,75071,87
12035,32.71954557,-117.1611792,12035,14986
12036,32.71725334,-117.161175,12036,15437
12028,32.74314665,-117.1616087,12028,11426
12032,32.72173583,-117.1612214,12032,14743
11642,32.72320918,-117.1612008,11642,14590
11643,32.7252924,-117.1612224,11643,14320
12034,32.71236153,-117.1611017,12034,16097
12039,32.72697159,-117.161243,12039,14053
12042,32.72906042,-117.1612483,12042,13765
11644,32.73153127,-117.1612576,11644,13454
12040,32.73326267,-117.1612788,12040,13135
12037,32.73678491,-117.161352,12037,12586
12025,32.74661233,-117.1616348,12025,10666
11645,32.73884183,-117.1613235,11645,12290
12027,32.74775835,-117.1616499,12027,10372
12041,32.74061451,-117.1613386,12041,11949
50013,32.68735067,-117.0792346,50013,2875
50042,32.68633414,-117.0828425,50042,2979
59018,32.68621318,-117.0840666,59018,2979
50030,32.68186008,-117.0988908,50030,3363
50032,32.68245177,-117.0967807,50032,3311
99305,32.68258034,-117.0968697,99305,3311
99304,32.6830339,-117.0952588,99304,3269
50006,32.6839792,-117.0912671,50006,3155
99303,32.68417427,-117.0912787,99303,3155
50041,32.68530337,-117.0865086,50041,3051
99302,32.6853627,-117.0870812,99302,3051
12551,32.75129674,-117.0792998,12551,5329
12909,32.73613764,-117.0794693,12909,12843
12187,32.75738899,-117.0794743,12187,8449
12914,32.75830609,-117.0791999,12914,8449
12172,32.72578842,-117.0833064,12172,14272
11760,32.73613024,-117.0797522,11760,12841
11759,32.73094605,-117.0798302,11759,13634
12907,32.73097532,-117.0795638,12907,13640
12183,32.74541297,-117.0795957,12183,11019
12910,32.74657735,-117.0793335,12910,10825
12550,32.74121722,-117.0794163,12550,12002
12179,32.73362074,-117.0797708,12179,13154
12908,32.73398522,-117.0795206,12908,13154
