from_node,to_node,distance,travel_time,source_edge_id
4206,4217,49.35125223,5.519780358,2941
4217,4206,49.35125223,5.519780358,2941
4363,4349,49.35125223,3.154160205,3231
4349,4363,49.35125223,3.154160205,3231
3609,3596,49.35125223,5.519780358,1776
3596,3609,49.35125223,5.519780358,1776
3577,3564,49.35125223,5.519780358,1781
3564,3577,49.35125223,5.519780358,1781
3135,3171,49.35125223,5.519780358,54147
3171,3135,49.35125223,5.519780358,54147
3346,3332,49.35125223,5.519780358,1043
3332,3346,49.35125223,5.519780358,1043
4582,4574,49.35125223,5.519780358,3530
4574,4582,49.35125223,5.519780358,3530
4382,4408,49.35125223,5.519780358,9944
4408,4382,49.35125223,5.519780358,9944
3934,3925,49.35154213,3.154178733,2576
3925,3934,49.35154213,3.154178733,2576
3063,3090,49.35929167,5.520679545,5032
3090,3063,49.35929167,5.520679545,5032
3214,3251,49.35972269,5.520727753,81211
3251,3214,49.35972269,5.520727753,81211
4514,4528,49.36828014,3.155248501,3201
4528,4514,49.36828014,3.155248501,3201
11661,11662,49.3772952,5.522693182,48496
11662,11661,49.3772952,5.522693182,48496
758,810,49.3772952,5.522693182,4820
810,758,49.3772952,5.522693182,4820
8295,8296,49.3776,3.155844156,47196
8296,8295,49.3776,3.155844156,47196
10364,10365,49.3776,4.418181818,35596
10365,10364,49.3776,4.418181818,35596
10238,10134,49.3776,5.522727273,25618
10134,10238,49.3776,5.522727273,25618
11723,11726,49.37853885,5.52283228,48512
11726,11723,49.37853885,5.52283228,48512
11719,11721,49.37853885,5.52283228,48510
11721,11719,49.37853885,5.52283228,48510
10544,10545,49.37854073,5.522832491,64470
10545,10544,49.37854073,5.522832491,64470
10240,10135,49.37854073,5.522832491,28656
10135,10240,49.37854073,5.522832491,28656
11658,11659,49.37854073,5.522832491,48493
11659,11658,49.37854073,5.522832491,48493
691,693,49.37854073,4.418265992,29922
693,691,49.37854073,4.418265992,29922
10547,10549,49.37854073,5.522832491,64475
10549,10547,49.37854073,5.522832491,64475
10909,10911,49.37854073,5.522832491,41593
10911,10909,49.37854073,5.522832491,41593
10996,10999,49.37854073,5.522832491,41607
10999,10996,49.37854073,5.522832491,41607
1329,1398,49.37854073,5.522832491,4826
