from_node,to_node,distance,travel_time,link_type
17543,16694,1667.9953381735202,124.3736194,1
16694,17543,1667.9953381735202,124.3736194,1
16694,17527,79.99977641119999,5.9651616,1
17527,16694,79.99977641119999,5.9651616,1
17527,16558,120.99966182194,9.02230692,1
16558,17527,120.99966182194,9.02230692,1
16558,16561,104.9997065397,7.8292746,1
16561,16558,104.9997065397,7.8292746,1
16561,16562,135.99961989903997,10.14077472,1
16562,16561,135.99961989903997,10.14077472,1
16562,16698,139.9996087196,10.4390328,1
16698,16562,139.9996087196,10.4390328,1
16698,17417,187.99947456631998,14.01812976,1
17417,16698,187.99947456631998,14.01812976,1
17417,17315,214.9993991051,16.0313718,1
17315,17417,214.9993991051,16.0313718,1
17315,17316,126.99964505278,9.46969404,1
17316,17315,126.99964505278,9.46969404,1
17316,16701,130.99963387334,9.76795212,1
16701,17316,130.99963387334,9.76795212,1
16701,16571,178.99949972006,13.34704908,1
16571,16701,178.99949972006,13.34704908,1
16571,16708,170.99952207894,12.75053292,1
16708,16571,170.99952207894,12.75053292,1
16708,16578,115.99967579624,8.64948432,1
16578,16708,115.99967579624,8.64948432,1
16578,16717,170.99952207894,12.75053292,1
16717,16578,170.99952207894,12.75053292,1
16717,16584,112.99968418082,8.42579076,1
16584,16717,112.99968418082,8.42579076,1
16584,16722,177.99950251491998,13.27248456,1
16722,16584,177.99950251491998,13.27248456,1
16722,16725,137.99961430931998,10.28990376,1
16725,16722,137.99961430931998,10.28990376,1
16725,16605,285.99920067004,21.32545272,1
16605,16725,285.99920067004,21.32545272,1
16605,16609,250.99929849014,18.71569452,1
16609,16605,250.99929849014,18.71569452,1
16609,16612,151.99957518128,11.33380704,1
16612,16609,151.99957518128,11.33380704,1
16612,16614,99.99972051399999,7.456452,1
16614,16612,99.99972051399999,7.456452,1
16614,17538,305.99914477284,22.81674312,1
17538,16614,305.99914477284,22.81674312,1
17538,17547,170.99952207894,12.75053292,1
17547,17538,170.99952207894,12.75053292,1
17547,17548,119.99966461679999,8.9477424,1
17548,17547,119.99966461679999,8.9477424,1
17548,16754,121.99965902708,9.09687144,1
16754,17548,121.99965902708,9.09687144,1
16754,16756,64.9998183341,4.8466938,1
16756,16754,64.9998183341,4.8466938,1
16756,16762,215.99939631024,16.10593632,1
16762,16756,215.99939631024,16.10593632,1
16762,16765,149.99958077099998,11.184678,1
16765,16762,149.99958077099998,11.184678,1
16765,17854,135.99961989903997,10.14077472,1
17854,16765,135.99961989903997,10.14077472,1
17854,16637,290.99918669574,21.69827532,1
16637,17854,290.99918669574,21.69827532,1
16637,16775,234.99934320789998,17.5226622,1
16775,16637,234.99934320789998,17.5226622,1
16775,16641,190.99946618174,14.24182332,1
16641,16775,190.99946618174,14.24182332,1
16641,16644,165.99953605323998,12.37771032,1
16644,16641,165.99953605323998,12.37771032,1
16644,16786,129.9996366682,9.6933876,1
16786,16644,129.9996366682,9.6933876,1
16786,16788,120.99966182194,9.02230692,1
16788,16786,120.99966182194,9.02230692,1
16788,16791,155.99956400183999,11.63206512,1
16791,16788,155.99956400183999,11.63206512,1
16791,16794,249.999301285,18.64113,1
16794,16791,249.999301285,18.64113,1
16794,16798,272.99923700322,20.35611396,1
16798,16794,272.99923700322,20.35611396,1
16798,16799,155.99956400183999,11.63206512,1
16799,16798,155.99956400183999,11.63206512,1
16799,16803,257.99927892612,19.23764616,1
16803,16799,257.99927892612,19.23764616,1
16803,16661,157.99955841211997,11.78119416,1
16661,16803,157.99955841211997,11.78119416,1
16661,16805,221.99937954107997,16.55332344,1
16805,16661,221.99937954107997,16.55332344,1
16805,16808,243.99931805416,18.19374288,1
16808,16805,243.99931805416,18.19374288,1
16808,16668,352.99901341442,26.32127556,1
16668,16808,352.99901341442,26.32127556,1
16668,16669,151.99957518128,11.33380704,1
16669,16668,151.99957518128,11.33380704,1
16669,16672,262.99926495182,19.61046876,1
16672,16669,262.99926495182,19.61046876,1
16672,17286,240.99932643873998,17.97004932,1
17286,16672,240.99932643873998,17.97004932,1
17286,17509,189.99946897659999,14.1672588,1
17509,17286,189.99946897659999,14.1672588,1
17509,16679,212.99940469482002,15.88224276,1
16679,17509,212.99940469482002,15.88224276,1
16679,17528,448.99874510786,33.47946948,1
17528,16679,448.99874510786,33.47946948,1
17069,16950,181.99949133547997,13.57074264,1
16950,17069,181.99949133547997,13.57074264,1
16950,17064,104.9997065397,7.8292746,1
17064,16950,104.9997065397,7.8292746,1
17064,17061,193.99945779715998,14.46551688,1
17061,17064,193.99945779715998,14.46551688,1
17061,16944,154.9995667967,11.5575006,1
16944,17061,154.9995667967,11.5575006,1
16944,17054,137.99961430931998,10.28990376,1
17054,16944,137.99961430931998,10.28990376,1
17054,16934,195.99945220744,14.61464592,1
16934,17054,195.99945220744,14.61464592,1
16934,16931,128.99963946306,9.61882308,1
16931,16934,128.99963946306,9.61882308,1
16931,17049,149.99958077099998,11.184678,1
17049,16931,149.99958077099998,11.184678,1
17049,17855,231.99935159248,17.29896864,1
17855,17049,231.99935159248,17.29896864,1
17855,16753,159.99955282239998,11.9303232,1
16753,17855,159.99955282239998,11.9303232,1
16753,17045,149.99958077099998,11.184678,1
17045,16753,149.99958077099998,11.184678,1
17045,17041,133.99962548876,9.99164568,1
17041,17045,133.99962548876,9.99164568,1
17041,16918,125.99964784763999,9.39512952,1
16918,17041,125.99964784763999,9.39512952,1
16918,17038,145.99959195044,10.88641992,1
17038,16918,145.99959195044,10.88641992,1
17038,17035,126.99964505278,9.46969404,1
17035,17038,126.99964505278,9.46969404,1
17035,17537,146.99958915558,10.96098444,1
17537,17035,146.99958915558,10.96098444,1
17537,17032,140.99960592474,10.51359732,1
17032,17537,140.99960592474,10.51359732,1
17032,16904,122.99965623221999,9.17143596,1
16904,17032,122.99965623221999,9.17143596,1
16904,17025,155.99956400183999,11.63206512,1
17025,16904,155.99956400183999,11.63206512,1
17025,17023,93.99973728315999,7.00906488,1
17023,17025,93.99973728315999,7.00906488,1
17023,16894,238.99933202846,17.82092028,1
16894,17023,238.99933202846,17.82092028,1
16894,17010,359.9989938504,26.8432272,1
17010,16894,359.9989938504,26.8432272,1
17010,17004,145.99959195044,10.88641992,1
17004,17010,145.99959195044,10.88641992,1
17004,17002,132.99962828361998,9.91708116,1
17002,17004,132.99962828361998,9.91708116,1
17002,17530,122.99965623221999,9.17143596,1
17530,17002,122.99965623221999,9.17143596,1
17530,16865,210.99941028453998,15.73311372,1
16865,17530,210.99941028453998,15.73311372,1
16865,16994,254.99928731069997,19.0139526,1
16994,16865,254.99928731069997,19.0139526,1
16994,17128,296.99916992658,22.14566244,1
17128,16994,296.99916992658,22.14566244,1
17128,17127,87.99975405231999,6.56167776,1
17127,17128,87.99975405231999,6.56167776,1
