node_index,is_stop_only,pos_x,pos_y,census_tract,node_in_fleetpy,is_demand_node
89918,False,6318790.0,1850889.0,14400,114,1
89919,False,6318535.381,1850887.0,14400,115,1
89921,False,6318258.0,1850886.0,14400,116,1
89923,False,6318211.0,1850885.0,14400,117,1
89933,False,6317873.0,1850880.0,14400,118,0
89944,False,6316237.0,1850873.0,14400,119,1
89947,False,6316946.0,1850871.0,14400,120,0
89952,False,6315779.0,1850869.0,14400,121,0
89966,False,6323637.001,1850862.0,14400,122,0
90005,False,6325174.0,1850831.0,14001,123,1
90023,False,6323481.0,1850805.0,14400,124,0
90064,False,6323636.0,1850777.0,14400,125,0
90085,False,6315256.757,1850737.392,2703,126,0
90096,False,6324865.0,1850718.0,14001,127,1
90098,False,6315415.0,1850715.0,2703,128,1
90123,False,6315579.201,1850673.099,14400,129,0
90164,False,6321638.0,1850633.999,14400,130,1
90169,False,6322017.0,1850628.0,14400,131,1
90174,False,6322955.001,1850622.0,14400,132,1
90177,False,6324685.081,1850620.462,14001,133,1
90179,False,6322458.0,1850620.0,14001,134,1
90180,False,6326023.826,1850616.542,14001,135,0
90185,False,6323469.0,1850610.0,14001,136,1
90190,False,6315506.0,1850602.0,14400,137,1
90198,False,6321496.0,1850590.0,14400,138,1
90200,False,6321639.0,1850588.0,14400,139,0
90208,False,6323942.0,1850580.0,14001,140,1
90245,False,6321494.0,1850556.0,14400,141,1
90252,False,6320506.001,1850552.0,14400,142,1
90253,False,6321165.0,1850551.0,14400,143,1
90271,False,6319857.0,1850540.999,14400,144,1
90288,False,6319186.0,1850535.0,14400,145,1
90299,False,6318783.0,1850531.0,14400,146,1
90300,False,6319042.0,1850531.0,14300,147,1
90305,False,6318527.0,1850528.0,14400,148,1
90309,False,6318256.0,1850526.0,14400,149,1
90312,False,6317867.997,1850524.897,14400,150,0
90354,False,6325585.0,1850466.0,14001,151,1
90364,False,6316955.0,1850447.999,14400,152,0
90380,False,6324844.0,1850420.0,14001,153,1
90381,False,6325155.0,1850416.999,14001,154,1
90388,False,6315861.0,1850403.0,14400,155,0
90392,False,6315675.0,1850401.0,14400,156,1
90416,False,6325399.0,1850357.0,14001,157,0
90417,False,6317050.698,1850355.586,14400,158,1
90422,False,6317229.108,1850354.067,14400,159,1
90427,False,6323938.0,1850341.0,14001,160,1
90431,False,6317863.0,1850334.0,14400,161,1
90439,False,6315751.0,1850311.0,14400,162,1
90513,False,6318774.0,1850220.0,14300,163,1
90515,False,6318522.001,1850219.0,14300,164,1
90525,False,6319847.0,1850209.0,14300,165,1
90527,False,6319037.0,1850208.0,14300,166,1
