depart_hr,second,rq_time,start (MGRA),end (MGRA),mode
18,3523,68323,9384,9398,SHARED3FREE
17,2434,63634,9301,9402,WALK_TRANSIT
11,3554,43154,9414,9249,SHARED3FREE
14,1220,51620,948,948,SHARED2FREE
8,263,29063,9422,9391,WALK
13,537,47337,9409,1293,SHARED2FREE
13,2527,49327,1293,1293,SHARED2FREE
16,1089,58689,9399,1293,SHARED3FREE
14,2926,53326,950,9424,SHARED3FREE
11,437,40037,9394,9402,SHARED2FREE
16,1693,59293,9391,1288,DRIVEALONEFREE
20,6,72006,9243,9414,SHARED3FREE
13,3123,49923,9249,9414,SHARED2FREE
15,2599,56599,9445,9409,WALK
13,1459,48259,948,9426,DRIVEALONEFREE
10,3128,39128,9282,9421,WALK_TRANSIT
10,2537,38537,9421,9282,TNC_SINGLE
10,3378,39378,9394,948,SHARED2FREE
12,1513,44713,9387,9400,DRIVEALONEFREE
14,3574,53974,9400,9387,DRIVEALONEFREE
10,2648,38648,9393,9414,WALK
10,1289,37289,9414,9393,WALK
19,811,69211,9393,9399,WALK
15,2554,56554,9409,9410,SHARED2FREE
20,3484,75484,9394,9285,SHARED3FREE
14,1232,51632,1293,948,WALK
14,356,50756,948,1293,WALK
14,279,50679,9429,948,SHARED2FREE
17,2974,64174,9430,9396,TNC_SINGLE
16,2391,59991,1288,1300,SHARED3FREE
13,480,47280,9417,948,DRIVEALONEFREE
18,2828,67628,9277,9358,SHARED2FREE
15,3457,57457,9421,1288,SHARED2FREE
14,1042,51442,1293,9348,SHARED3FREE
10,2208,38208,1293,9402,SHARED2FREE
23,1252,84052,9333,9413,DRIVEALONEFREE
18,464,65264,9398,9414,WALK_TRANSIT
15,2263,56263,9419,948,SHARED2FREE
18,59,64859,9402,9391,WALK
11,809,40409,9409,9409,DRIVEALONEFREE
13,250,47050,9409,9409,DRIVEALONEFREE
14,1728,52128,1046,950,WALK
11,3167,42767,1046,1293,DRIVEALONEFREE
12,712,43912,9333,9402,WALK_TRANSIT
18,906,65706,948,9410,SHARED2FREE
13,3004,49804,9250,9398,WALK_TRANSIT
11,607,40207,1046,9409,DRIVEALONEFREE
12,1142,44342,9409,1046,SHARED3FREE
12,931,44131,1046,9397,SHARED3FREE
17,1441,62641,9397,1046,WALK_TRANSIT
13,126,46926,1046,9445,WALK
14,93,50493,9445,1046,WALK
16,2721,60321,1046,9393,TAXI
18,1148,65948,9393,1046,TAXI
12,3110,46310,9428,1293,SHARED3FREE
14,3499,53899,1293,1293,SHARED3FREE
13,2748,49548,9277,1293,DRIVEALONEFREE
12,2583,45783,9241,9375,WALK_TRANSIT
11,1227,40827,1046,948,WALK
20,1441,73441,948,9421,WALK
20,718,72718,9421,1046,WALK
14,2836,53236,9419,9445,DRIVEALONEFREE
8,3057,31857,9388,948,DRIVEALONEFREE
