depart_hr,second,rq_time,start (MGRA),end (MGRA),mode
13,1925,48725,9351,9399,TNC_SINGLE
16,3309,60909,9399,9351,TNC_SINGLE
18,3574,68374,9327,9371,SHARED3FREE
23,1547,84347,9371,9327,SHARED3FREE
11,1283,40883,9336,9332,WALK
15,2305,56305,9332,9336,WALK
11,954,40554,9337,9240,SHARED2FREE
13,1115,47915,9240,9337,SHARED2FREE
10,1201,37201,9337,9409,SHARED2FREE
10,1259,37259,9409,9337,SHARED2FREE
9,3148,35548,9414,9249,DRIVEALONEFREE
9,2266,34666,9249,9349,SHARED3FREE
7,970,26170,9338,948,DRIVEALONEFREE
7,3293,28493,948,9338,DRIVEALONEFREE
20,1399,73399,9349,1288,DRIVEALONEFREE
20,125,72125,1288,9349,DRIVEALONEFREE
6,682,22282,9349,9445,DRIVEALONEFREE
12,2486,45686,9445,9349,DRIVEALONEFREE
15,1230,55230,9335,9387,WALK_TRANSIT
18,831,65631,9387,9335,DRIVEALONEFREE
10,42,36042,9337,948,SHARED2FREE
13,2694,49494,948,9417,SHARED2FREE
13,94,46894,9417,9402,SHARED2FREE
13,2755,49555,9402,9337,SHARED2FREE
7,3141,28341,9345,9384,WALK_TRANSIT
23,3176,85976,9384,9345,WALK_TRANSIT
8,2963,31763,9345,1362,DRIVEALONEFREE
14,1454,51854,1362,9345,TAXI
17,196,61396,9347,9276,SHARED3FREE
17,1176,62376,9276,9347,SHARED3FREE
7,2613,27813,9328,1361,TAXI
13,2821,49621,1361,9328,SHARED3FREE
11,3330,42930,9327,9343,SHARED3FREE
7,1786,26986,9347,9419,SHARED2FREE
17,1785,62985,9419,9347,BIKE
18,1907,66707,9341,9417,SHARED2FREE
18,1613,66413,9417,9341,SHARED2FREE
19,2426,70826,9246,9345,SHARED3FREE
8,2002,30802,9339,9249,SHARED3FREE
10,1047,37047,9249,9339,SHARED3FREE
14,1230,51630,9339,9402,SHARED3FREE
18,1002,65802,9291,9345,WALK_TRANSIT
8,2960,31760,9350,9424,SHARED2FREE
8,486,29286,9424,9350,SHARED3FREE
10,1501,37501,9348,9396,WALK
18,667,65467,9396,9348,WALK
17,2179,63379,9348,9414,WALK
17,1869,63069,9414,9348,WALK
20,1263,73263,1293,9320,DRIVEALONEFREE
9,1812,34212,9347,9414,SHARED3FREE
10,2855,38855,9414,9347,WALK_TRANSIT
16,263,57863,9398,9343,SHARED3FREE
17,2725,63925,9339,9414,DRIVEALONEFREE
7,3138,28338,9339,9337,SHARED3FREE
12,1260,44460,9319,9392,TAXI
14,2865,53265,9392,9319,TAXI
11,1697,41297,9342,948,SHARED3FREE
12,2205,45405,9394,9342,SHARED3FREE
17,414,61614,9398,9341,WALK
7,2407,27607,9341,1295,WALK
8,155,28955,1295,9342,WALK
8,79,28879,9342,9341,WALK
8,1360,30160,9341,9397,SHARED2FREE
15,3409,57409,9397,9341,WALK_TRANSIT
10,469,36469,9341,9351,SHARED3FREE
16,1749,59349,9351,9341,SHARED3FREE
18,1080,65880,9341,9409,WALK
18,3182,67982,9409,9341,WALK
8,3487,32287,9330,9249,WALK_TRANSIT
13,2329,49129,9330,9421,SHARED2FREE
13,2051,48851,9421,9330,SHARED2FREE
7,234,25434,9330,9402,WALK_TRANSIT
9,1687,34087,9402,9330,WALK_TRANSIT
16,1695,59295,9330,9414,DRIVEALONEFREE
11,380,39980,9325,9355,WALK
14,2722,53122,9355,9325,WALK
15,1545,55545,9325,9277,DRIVEALONEFREE
16,335,57935,9277,9325,SHARED2FREE
9,3087,35487,9325,9321,WALK
13,1174,47974,9321,9325,DRIVEALONEFREE
6,2456,24056,9325,9318,WALK_TRANSIT
6,483,22083,9318,9325,TNC_SINGLE
8,2562,31362,9325,9327,WALK
16,1788,59388,9327,9325,WALK
15,1338,55338,9325,9414,SHARED3FREE
16,796,58396,9414,9325,SHARED3FREE
13,444,47244,948,9340,DRIVEALONEFREE
12,2500,45700,9326,9542,DRIVEALONEFREE
18,188,64988,9542,9326,DRIVEALONEFREE
7,33,25233,9322,9424,WALK_TRANSIT
16,1462,59062,9424,9322,WALK
13,2171,48971,9298,9290,SHARED3FREE
14,2396,52796,9290,9298,SHARED3FREE
7,359,25559,9348,1361,SHARED3FREE
15,614,54614,1361,9348,SHARED3FREE
10,982,36982,9271,9332,TAXI
10,871,36871,9254,9335,SHARED2FREE
16,852,58452,1288,9337,DRIVE_TRANSIT
8,850,29650,9319,9331,WALK_TRANSIT
15,2326,56326,9331,9319,WALK_TRANSIT
7,2644,27844,9348,9375,SHARED3FREE
13,2911,49711,9375,9348,WALK
7,817,26017,9350,9262,DRIVEALONEFREE
15,3423,57423,9319,9393,SHARED2FREE
8,447,29247,9319,9329,WALK
17,210,61410,9329,9319,WALK_TRANSIT
13,605,47405,1293,9320,SHARED3FREE
5,3478,21478,9351,9277,SHARED3FREE
7,1341,26541,9277,9425,DRIVEALONEFREE
7,608,25808,9330,948,DRIVEALONEFREE
11,1237,40837,9351,9417,DRIVEALONEFREE
11,3208,42808,9417,9351,DRIVEALONEFREE
8,1057,29857,9351,9403,TAXI
17,1716,62916,9403,9351,SHARED2FREE
7,1980,27180,9326,9360,WALK
15,1330,55330,9360,9326,WALK
17,2226,63426,9326,9421,WALK
17,1846,63046,9421,9326,WALK
12,2071,45271,9323,9329,SHARED3FREE
9,2171,34571,9344,9409,TAXI
14,2984,53384,9409,9344,DRIVEALONEFREE
15,1409,55409,9328,9281,SHARED2FREE
18,3029,67829,9281,9328,SHARED2FREE
13,3319,50119,1288,9414,SHARED2FREE
14,3198,53598,9414,9344,SHARED2FREE
15,567,54567,9344,1295,DRIVEALONEFREE
9,613,33013,9348,9310,TAXI
18,1757,66557,9446,9348,DRIVEALONEFREE
7,2115,27315,9348,9221,DRIVEALONEFREE
8,2272,31072,9221,9348,SHARED2FREE
15,495,54495,9348,1046,SHARED3FREE
9,3302,35702,9320,9394,TAXI
13,2365,49165,9394,9320,SHARED2FREE
15,3037,57037,9320,9290,WALK_TRANSIT
17,2801,64001,9290,9320,TNC_SINGLE
8,378,29178,9394,9402,DRIVEALONEFREE
8,826,29626,9324,9394,DRIVEALONEFREE
19,1792,70192,9394,9324,DRIVEALONEFREE
17,3030,64230,9331,9247,WALK
17,1544,62744,9247,9331,WALK
10,3397,39397,9331,9385,WALK
13,1871,48671,9385,9331,WALK
8,2109,30909,9343,9366,DRIVEALONEFREE
9,14,32414,9366,9343,SHARED3FREE
17,3284,64484,9343,1291,SHARED3FREE
17,2537,63737,1291,9343,SHARED2FREE
20,355,72355,9343,9273,SHARED2FREE
8,437,29237,9329,9323,WALK
8,818,29618,9323,9330,WALK
17,518,61718,9330,9329,WALK
14,3064,53464,9343,9261,SHARED2FREE
9,775,33175,9338,9400,DRIVEALONEFREE
9,2248,34648,9347,9398,WALK
18,995,65795,9324,9391,WALK_TRANSIT
8,2523,31323,9324,9258,SHARED2FREE
17,1737,62937,9258,9324,SHARED2FREE
5,2561,20561,9327,9414,WALK_TRANSIT
15,2810,56810,9320,9414,DRIVEALONEFREE
15,3363,57363,9414,9248,SHARED2FREE
15,2259,56259,9248,9320,SHARED2FREE
8,3026,31826,9331,9243,SHARED2FREE
8,23,28823,9331,9250,WALK
18,186,64986,9414,9331,DRIVEALONEFREE
16,850,58450,9331,9360,SHARED3FREE
17,3273,64473,9360,9331,DRIVEALONEFREE
7,2145,27345,9349,9387,WALK
17,1603,62803,9387,9349,WALK
7,1940,27140,9343,9408,BIKE
15,113,54113,9408,9343,SHARED2FREE
15,412,54412,9343,9277,SHARED3FREE
15,1795,55795,9277,9343,WALK_TRANSIT
11,2933,42533,9239,9249,WALK
11,1390,40990,9249,9249,WALK
11,3324,42924,9249,9233,WALK
12,528,43728,9233,9239,WALK
9,1845,34245,9343,9239,SHARED2FREE
18,995,65795,9239,9343,WALK_TRANSIT
7,2176,27376,9344,9345,WALK
14,1806,52206,9345,9344,WALK
16,419,58019,9337,9414,SHARED3FREE
19,392,68792,9414,9337,SHARED3FREE
15,3514,57514,9337,9347,SHARED2FREE
20,1798,73798,9347,9337,WALK_TRANSIT
19,3580,71980,1293,9342,DRIVEALONEFREE
15,719,54719,9328,9226,SHARED3FREE
15,2695,56695,9226,9328,DRIVEALONEFREE
10,2628,38628,1362,9328,SHARED3FREE
7,3452,28652,9327,9277,SHARED3FREE
15,1828,55828,9277,9327,DRIVEALONEFREE
10,1493,37493,9327,9417,SHARED3FREE
11,3190,42790,9417,1293,SHARED3FREE
11,1768,41368,1293,9327,DRIVEALONEFREE
15,1340,55340,9339,9333,WALK
15,3309,57309,9333,9410,WALK
15,3012,57012,9410,9421,WALK
15,1701,55701,9421,9339,WALK
11,1531,41131,9319,9388,WALK_TRANSIT
11,699,40299,9388,9319,WALK_TRANSIT
13,2015,48815,9342,9393,SHARED3FREE
13,1904,48704,9393,9283,DRIVEALONEFREE
13,2225,49025,9255,9342,SHARED3FREE
8,3551,32351,9342,9311,SHARED2FREE
7,1760,26960,9347,9378,WALK
11,2247,41847,9378,9347,WALK
9,618,33018,9322,1293,DRIVEALONEFREE
10,1375,37375,1293,9368,DRIVEALONEFREE
10,1697,37697,9368,9414,DRIVEALONEFREE
10,246,36246,9414,9322,DRIVEALONEFREE
14,2263,52663,9400,9392,WALK_TRANSIT
7,3183,28383,9348,9392,WALK
17,104,61304,9392,9348,SHARED2FREE
14,2465,52865,9337,9409,SHARED2FREE
14,3178,53578,9409,9337,SHARED2FREE
12,2624,45824,9408,9337,TNC_SINGLE
14,1078,51478,9324,9430,SHARED3FREE
21,3245,78845,9319,9228,WALK
21,1749,77349,9228,9319,WALK
19,830,69230,9248,9319,WALK
18,1360,66160,9421,9334,DRIVEALONEFREE
5,3176,21176,9345,1293,SHARED2FREE
5,3577,21577,1293,9345,SHARED2FREE
15,2992,56992,1296,9347,SHARED2FREE
11,2390,41990,9254,9351,SHARED2FREE
17,855,62055,9388,9350,TAXI
7,828,26028,9319,9370,WALK
15,2711,56711,9370,9319,WALK
7,1293,26493,9331,9315,SHARED2FREE
12,363,43563,9315,9331,SHARED2FREE
5,1700,19700,9331,9402,SHARED3FREE
6,537,22137,9332,9342,SHARED3FREE
6,1666,23266,9342,9331,SHARED2FREE
16,2304,59904,9347,9316,SHARED2FREE
17,932,62132,9316,9396,DRIVEALONEFREE
17,421,61621,9396,9395,DRIVEALONEFREE
20,1703,73703,9395,9347,DRIVEALONEFREE
15,3031,57031,9330,9290,DRIVEALONEFREE
11,1773,41373,9341,9232,SHARED2FREE
12,342,43542,9232,9341,SHARED2FREE
13,2908,49708,9329,9385,WALK
13,868,47668,9385,9329,WALK_TRANSIT
17,1657,62857,1293,9344,SHARED2FREE
15,2776,56776,9346,9321,SHARED2FREE
7,2839,28039,9321,9409,BIKE
23,1059,83859,9445,9321,DRIVEALONEFREE
14,3168,53568,9341,9298,TNC_SINGLE
17,1607,62807,9298,9341,TAXI
7,1847,27047,9321,9318,TNC_SINGLE
8,999,29799,9318,9321,TNC_SINGLE
13,279,47079,9321,948,WALK
14,2038,52438,948,9321,WALK
18,903,65703,9391,9325,SHARED3FREE
20,467,72467,9427,9414,WALK
20,3393,75393,9414,9337,WALK_TRANSIT
18,1256,66056,9329,9388,BIKE
23,816,83616,9388,9329,SHARED3FREE
13,837,47637,9409,9320,SHARED2FREE
15,3363,57363,9320,9397,SHARED3FREE
15,1067,55067,9397,9320,SHARED2FREE
6,594,22194,9323,9320,SHARED3FREE
8,2209,31009,9350,9297,BIKE
16,3272,60872,9297,9350,BIKE
8,3330,32130,9351,9232,SHARED3FREE
15,2539,56539,9232,9351,SHARED3FREE
18,606,65406,9351,9414,DRIVEALONEFREE
11,3562,43162,9338,9414,DRIVEALONEFREE
20,416,72416,9414,9338,DRIVEALONEFREE
11,313,39913,9338,9232,DRIVEALONEFREE
9,3388,35788,9332,1386,SHARED2FREE
10,3230,39230,1386,9398,SHARED2FREE
12,2839,46039,9398,9332,SHARED2FREE
17,1577,62777,1293,9332,WALK_TRANSIT
14,3174,53574,9394,9332,DRIVEALONEFREE
20,3221,75221,9320,9350,SHARED2FREE
20,1662,73662,9350,9320,SHARED3FREE
9,760,33160,9320,9334,SHARED2FREE
6,3222,24822,9328,9264,BIKE
18,467,65267,9264,9328,BIKE
14,1521,51921,9345,9357,DRIVEALONEFREE
20,2492,74492,9357,9345,DRIVEALONEFREE
14,30,50430,9402,9328,DRIVEALONEFREE
14,3470,53870,9331,9277,TNC_SINGLE
17,2066,63266,9277,9331,TAXI
8,193,28993,9345,9277,SHARED3FREE
15,3424,57424,9277,9345,TNC_SINGLE
18,350,65150,9409,9249,SHARED3FREE
20,2673,74673,9249,9336,SHARED3FREE
9,3221,35621,9414,9336,SHARED2FREE
8,377,29177,9348,1293,TAXI
10,311,36311,1293,1293,WALK
10,2379,38379,1293,9348,DRIVEALONEFREE
15,2091,56091,9399,9326,DRIVE_TRANSIT
14,3019,53419,9402,9326,SHARED2FREE
8,2746,31546,9349,9349,DRIVEALONEFREE
9,243,32643,9349,9349,SHARED2FREE
7,1913,27113,9348,9343,SHARED2FREE
13,97,46897,9343,9348,SHARED2FREE
9,2337,34737,9348,9308,SHARED3FREE
16,2457,60057,9308,9348,SHARED3FREE
7,1133,26333,1288,9328,DRIVEALONEFREE
18,1893,66693,9398,9328,DRIVEALONEFREE
10,2141,38141,9339,9421,WALK_TRANSIT
10,1460,37460,9421,9339,WALK_TRANSIT
18,2820,67620,1288,9339,DRIVEALONEFREE
18,2637,67437,9400,9328,DRIVEALONEFREE
13,3334,50134,9342,9404,DRIVEALONEFREE
10,967,36967,9345,9335,TNC_SINGLE
13,852,47652,9335,9421,DRIVEALONEFREE
13,224,47024,9421,9345,DRIVEALONEFREE
13,1027,47827,9328,9409,TAXI
13,1656,48456,9409,9328,DRIVEALONEFREE
10,2236,38236,9348,9409,TAXI
18,2485,67285,1288,9335,SHARED2FREE
8,2224,31024,9350,9397,WALK_TRANSIT
16,1035,58635,9350,9222,SHARED2FREE
17,1588,62788,9222,9350,SHARED2FREE
14,1436,51836,9350,9414,WALK_TRANSIT
11,3113,42713,9399,9328,SHARED2FREE
17,613,61813,9332,9390,TNC_SHARED
20,915,72915,9390,9332,TAXI
13,2104,48904,1288,9332,DRIVEALONEFREE
8,1037,29837,9344,9397,DRIVEALONEFREE
13,1618,48418,9397,9344,WALK_TRANSIT
10,498,36498,9323,9384,DRIVEALONEFREE
16,2378,59978,9384,9323,DRIVEALONEFREE
10,82,36082,9345,9392,SHARED3FREE
15,107,54107,9392,9345,SHARED3FREE
12,3285,46485,9349,9392,WALK
15,3194,57194,9392,9349,WALK
8,35,28835,9349,9269,BIKE
13,813,47613,9269,9349,BIKE
11,2560,42160,9320,9421,SHARED2FREE
11,2401,42001,9421,9424,TAXI
18,914,65714,9343,9402,DRIVEALONEFREE
19,1955,70355,9402,9343,DRIVEALONEFREE
14,2341,52741,9279,9343,SHARED2FREE
17,356,61556,9343,9421,SHARED3FREE
18,1343,66143,9421,9414,SHARED3FREE
18,3180,67980,9414,9343,SHARED2FREE
14,2776,53176,9325,9409,TNC_SINGLE
14,2450,52850,9333,9325,DRIVEALONEFREE
8,1540,30340,9350,9307,SHARED3FREE
10,382,36382,9350,9404,WALK
10,3448,39448,9404,9249,WALK
10,160,36160,9249,9350,WALK
12,2602,45802,9327,9277,DRIVEALONEFREE
17,643,61843,948,9328,SHARED3FREE
15,1714,55714,9329,948,TNC_SINGLE
17,2045,63245,948,9329,DRIVEALONEFREE
7,2205,27405,9322,9357,SHARED3FREE
10,198,36198,9357,9322,WALK
7,943,26143,9322,9247,SHARED3FREE
15,3175,57175,9247,9322,SHARED3FREE
20,541,72541,9331,9426,DRIVEALONEFREE
21,447,76047,9426,9331,TAXI
18,1988,66788,9321,9387,SHARED2FREE
18,2688,67488,9387,9402,SHARED3FREE
18,297,65097,9402,9347,SHARED2FREE
7,2038,27238,9351,9369,WALK
15,21,54021,9369,9351,WALK
13,166,46966,9351,9347,SHARED3FREE
15,1561,55561,9347,9351,WALK
15,1802,55802,9351,9392,TNC_SINGLE
16,1810,59410,9392,9351,WALK_TRANSIT
7,3274,28474,9351,1291,DRIVEALONEFREE
7,3186,28386,9414,9342,DRIVEALONEFREE
10,1401,37401,9347,1293,DRIVEALONEFREE
10,1414,37414,9347,9414,DRIVEALONEFREE
11,1580,41180,9414,9347,WALK
19,614,69014,9418,9349,TAXI
8,3464,32264,9341,9282,SHARED2FREE
15,1154,55154,9282,9341,SHARED2FREE
8,3377,32177,9341,9277,SHARED3FREE
18,3582,68382,9341,9277,SHARED3FREE
7,2890,28090,9341,1289,WALK_TRANSIT
16,2437,60037,1289,9341,SHARED3FREE
19,2004,70404,9413,9343,TAXI
18,2322,67122,9321,9393,DRIVEALONEFREE
20,1454,73454,9393,9321,DRIVEALONEFREE
12,1663,44863,9321,9277,DRIVEALONEFREE
12,2393,45593,9277,9321,DRIVEALONEFREE
8,2725,31525,9344,9268,BIKE
9,2395,34795,9268,9344,BIKE
15,2990,56990,9344,9335,SHARED2FREE
16,2342,59942,9335,9344,SHARED2FREE
21,2988,78588,1386,9344,SHARED2FREE
16,716,58316,9295,9327,DRIVEALONEFREE
15,967,54967,9327,9333,TAXI
19,1025,69425,9320,9399,DRIVEALONEFREE
20,537,72537,9399,9320,TAXI
17,3388,64588,9323,1293,DRIVEALONEFREE
18,2542,67342,1293,9323,DRIVEALONEFREE
11,1466,41066,9338,9428,DRIVEALONEFREE
16,2773,60373,9325,9421,SHARED2FREE
15,1485,55485,9325,9350,SHARED2FREE
15,930,54930,9350,9239,SHARED2FREE
15,510,54510,9239,9325,SHARED2FREE
17,143,61343,948,9345,BIKE
13,235,47035,9329,9243,SHARED3FREE
11,253,39853,9319,1288,WALK
11,1353,40953,1288,948,WALK
11,1008,40608,948,948,WALK
12,2094,45294,948,9319,WALK
15,294,54294,9319,9398,WALK
16,819,58419,9398,9319,WALK
11,3059,42659,9341,9394,SHARED3FREE
12,1653,44853,9347,948,TAXI
13,2164,48964,948,948,SHARED2FREE
17,910,62110,948,9347,SHARED2FREE
10,3468,39468,9341,9402,WALK_TRANSIT
12,2720,45920,9402,9341,TNC_SINGLE
10,561,36561,9341,9223,TAXI
13,769,47569,9223,9341,TAXI
20,27,72027,9300,9342,BIKE
17,16,61216,9342,9394,DRIVEALONEFREE
17,968,62168,9394,9342,DRIVEALONEFREE
17,2272,63472,9345,9445,SHARED2FREE
17,502,61702,9445,9421,DRIVEALONEFREE
19,2353,70753,9221,9345,SHARED2FREE
10,3204,39204,9347,1293,DRIVEALONEFREE
12,2785,45985,1293,9409,DRIVEALONEFREE
12,1711,44911,9409,9347,DRIVEALONEFREE
8,1392,30192,9347,9236,SHARED2FREE
12,322,43522,9236,9347,SHARED2FREE
13,2342,49142,9347,9236,SHARED2FREE
15,96,54096,9236,9347,SHARED2FREE
8,2813,31613,9347,9405,WALK
15,1537,55537,9405,9347,WALK
7,3358,28558,9324,9226,WALK_TRANSIT
8,2029,30829,9226,9324,SHARED2FREE
18,1400,66200,9425,9327,SHARED2FREE
8,7,28807,9347,9414,SHARED3FREE
8,1227,30027,9414,9341,SHARED3FREE
13,2972,49772,1293,9335,DRIVEALONEFREE
9,2329,34729,9350,9277,SHARED3FREE
16,2188,59788,9277,9350,SHARED2FREE
7,3241,28441,9350,9404,WALK_TRANSIT
15,3399,57399,9404,9350,SHARED2FREE
6,3190,24790,9328,9277,WALK_TRANSIT
12,2899,46099,9277,9328,BIKE
17,1801,63001,9348,9291,WALK
20,34,72034,9291,9348,WALK
12,3333,46533,9350,1293,SHARED2FREE
16,334,57934,9414,9414,WALK_TRANSIT
8,117,28917,9351,948,WALK_TRANSIT
17,3412,64612,9377,9331,BIKE
7,1604,26804,9331,9393,TNC_SINGLE
14,1424,51824,9393,9331,WALK_TRANSIT
18,3579,68379,9331,9324,TAXI
18,3430,68230,9325,9227,SHARED2FREE
21,2032,77632,9227,9325,WALK_TRANSIT
19,3447,71847,9402,9414,WALK_TRANSIT
19,3301,71701,9414,9328,WALK_TRANSIT
15,3385,57385,9338,9337,WALK
16,3419,61019,9337,9338,WALK
16,2225,59825,9338,9409,TAXI
5,3066,21066,9338,9249,WALK
15,2137,56137,9249,9338,WALK
10,2498,38498,9249,9342,TAXI
10,1798,37798,9342,9228,WALK
16,2535,60135,9228,9342,WALK
16,1659,59259,9342,9342,WALK
10,1398,37398,9345,9394,DRIVEALONEFREE
10,2862,38862,9394,9345,SHARED3FREE
12,3529,46729,9332,9344,SHARED3FREE
13,3523,50323,9344,9332,SHARED3FREE
5,2678,20678,9331,9398,BIKE
15,3245,57245,9223,9331,TNC_SINGLE
6,2922,24522,9332,9291,WALK
17,183,61383,9291,9332,WALK
18,1512,66312,9414,9324,WALK_TRANSIT
19,333,68733,9237,9324,DRIVEALONEFREE
8,1822,30622,9319,9341,BIKE
5,1731,19731,9319,9333,WALK
17,2724,63924,9333,9319,WALK
11,3035,42635,9319,9257,SHARED3FREE
18,3197,67997,9257,9319,SHARED2FREE
14,254,50654,9421,9277,WALK_TRANSIT
14,1232,51632,9277,9341,SHARED2FREE
18,3506,68306,9344,9409,WALK_TRANSIT
11,784,40384,9325,9247,SHARED2FREE
15,576,54576,9320,1293,DRIVEALONEFREE
15,3016,57016,1293,9320,DRIVEALONEFREE
17,3262,64462,9322,1292,TNC_SHARED
20,2056,74056,1292,9322,DRIVEALONEFREE
10,1366,37366,9343,9420,DRIVEALONEFREE
11,153,39753,9339,9414,DRIVEALONEFREE
13,2027,48827,9414,9339,SHARED2FREE
21,1962,77562,9402,9344,SHARED2FREE
16,2564,60164,9338,1293,SHARED2FREE
22,2804,82004,1293,9338,SHARED2FREE
13,2350,49150,9347,9360,SHARED3FREE
15,1341,55341,9327,9345,WALK
22,2213,81413,9345,9327,WALK
22,1074,80274,9327,9344,WALK
23,1857,84657,9344,9327,WALK
9,3479,35879,9335,1288,SHARED2FREE
10,1635,37635,1288,9335,TAXI
12,3275,46475,9344,9398,TAXI
17,238,61438,9398,9344,TAXI
17,118,61318,9391,9338,WALK
13,542,47342,9322,9332,DRIVEALONEFREE
16,1644,59244,9332,9322,SHARED3FREE
8,1852,30652,9320,9397,SHARED2FREE
15,118,54118,9397,9320,TAXI
11,269,39869,9423,9345,SHARED3FREE
18,3037,67837,9352,9351,WALK_TRANSIT
7,3478,28678,9342,9423,DRIVEALONEFREE
8,3223,32023,9423,9342,SHARED2FREE
7,103,25303,9344,9317,WALK_TRANSIT
14,960,51360,9351,9408,WALK
15,1909,55909,9408,9351,WALK
15,3279,57279,9351,9414,SHARED2FREE
15,2723,56723,9414,9351,SHARED3FREE
17,3104,64304,9351,9414,TNC_SHARED
13,2243,49043,9329,948,DRIVEALONEFREE
15,1108,55108,948,9409,DRIVEALONEFREE
15,2623,56623,9409,9329,TAXI
17,3405,64605,9221,9348,DRIVEALONEFREE
7,3140,28340,9348,9414,DRIVEALONEFREE
12,642,43842,9414,9348,TAXI
17,976,62176,9348,9384,TAXI
18,1724,66524,9384,9246,TAXI
21,492,76092,9246,9348,DRIVEALONEFREE
11,2088,41688,9390,9348,TAXI
17,2871,64071,9348,9414,SHARED3FREE
20,1068,73068,9414,9348,SHARED3FREE
13,3344,50144,9414,9347,SHARED2FREE
15,1723,55723,9320,9246,DRIVEALONEFREE
7,1697,26897,9351,9252,BIKE
11,2295,41895,9252,9351,WALK
10,1120,37120,9319,9343,SHARED2FREE
15,2171,56171,9343,9319,WALK
14,2449,52849,9343,9445,DRIVEALONEFREE
16,74,57674,9445,9343,DRIVEALONEFREE
18,126,64926,9329,9402,DRIVEALONEFREE
22,3196,82396,9402,9329,DRIVEALONEFREE
14,2367,52767,9350,9246,WALK
17,2880,64080,9246,9350,WALK
18,178,64978,9350,9372,WALK_TRANSIT
18,845,65645,9372,9350,WALK_TRANSIT
6,2133,23733,9350,1293,SHARED3FREE
19,2555,70955,9319,1288,TAXI
21,2353,77953,1288,9319,WALK_TRANSIT
18,2065,66865,9350,9358,WALK
19,901,69301,9358,9350,WALK
14,25,50425,9350,9223,BIKE
16,2699,60299,9223,9350,BIKE
11,1518,41118,9349,9414,DRIVEALONEFREE
14,2172,52572,9246,9349,DRIVEALONEFREE
9,1993,34393,9349,1293,TNC_SINGLE
13,859,47659,1293,9349,TAXI
14,1828,52228,9329,9320,WALK
16,2942,60542,9320,9329,WALK
6,332,21932,9321,9277,DRIVEALONEFREE
10,2835,38835,9277,9321,DRIVEALONEFREE
15,729,54729,9323,1293,DRIVEALONEFREE
18,1374,66174,1293,9323,DRIVEALONEFREE
10,3146,39146,9347,9381,DRIVEALONEFREE
22,1078,80278,9381,9347,SHARED2FREE
8,3419,32219,9350,9234,WALK
8,2710,31510,9234,9380,WALK
17,2683,63883,9380,9414,WALK
18,2145,66945,9414,9350,WALK
12,322,43522,9331,948,DRIVEALONEFREE
9,578,32978,9322,9414,SHARED2FREE
13,2754,49554,9414,9322,SHARED2FREE
18,2848,67648,9323,9414,SHARED2FREE
18,1140,65940,9414,9330,SHARED2FREE
18,1224,66024,9330,948,SHARED2FREE
9,772,33172,9320,9347,DRIVEALONEFREE
7,2883,28083,9320,9358,SHARED3FREE
11,2075,41675,9358,9320,SHARED3FREE
11,2374,41974,9393,9414,DRIVEALONEFREE
13,2387,49187,9414,9393,DRIVEALONEFREE
6,462,22062,9341,9393,DRIVEALONEFREE
16,2512,60112,9393,9341,DRIVEALONEFREE
14,671,51071,9343,9397,TNC_SINGLE
15,919,54919,9397,9343,WALK_TRANSIT
13,1536,48336,9345,9223,DRIVEALONEFREE
13,688,47488,1293,9345,DRIVEALONEFREE
17,988,62188,1293,9350,DRIVEALONEFREE
15,404,54404,9385,9348,SHARED2FREE
11,2990,42590,9348,9445,WALK
13,1291,48091,9445,9348,WALK
7,1418,26618,9348,9396,BIKE
16,868,58468,9396,9348,TAXI
17,1726,62926,9348,9400,WALK
17,3371,64571,9400,9348,WALK
10,2028,38028,9334,948,SHARED3FREE
11,1140,40740,9226,9334,SHARED3FREE
8,1784,30584,9334,9350,DRIVEALONEFREE
17,656,61856,9350,9334,DRIVEALONEFREE
7,2657,27857,9325,9372,SHARED3FREE
12,491,43691,9343,9409,DRIVEALONEFREE
15,1187,55187,9409,9409,WALK
15,2707,56707,9409,9343,TAXI
15,2076,56076,9343,1288,DRIVEALONEFREE
15,1366,55366,1288,9343,SHARED2FREE
17,2722,63922,9250,9388,WALK_TRANSIT
17,2782,63982,9388,9343,WALK_TRANSIT
11,1268,40868,9343,1293,WALK_TRANSIT
12,565,43765,9343,9351,SHARED2FREE
12,2261,45461,9351,9343,SHARED2FREE
17,1203,62403,9343,1386,DRIVEALONEFREE
18,3192,67992,1386,9297,DRIVEALONEFREE
18,1123,65923,9297,9343,DRIVEALONEFREE
18,1772,66572,9341,9421,DRIVEALONEFREE
19,3252,71652,9421,9391,DRIVEALONEFREE
19,722,69122,9391,9341,DRIVEALONEFREE
20,3215,75215,9266,9345,SHARED3FREE
10,1672,37672,9345,9414,DRIVEALONEFREE
11,67,39667,9414,9414,DRIVEALONEFREE
11,41,39641,9414,9345,DRIVEALONEFREE
14,1381,51781,9339,9344,WALK
14,2188,52588,9344,9339,WALK
15,252,54252,9350,9404,WALK
15,1064,55064,9404,9400,WALK
15,485,54485,9400,9416,WALK
15,2497,56497,9416,9414,WALK
15,1608,55608,9414,9391,WALK
15,1265,55265,9391,9350,WALK
17,808,62008,9344,9430,TAXI
18,155,64955,9430,9344,DRIVEALONEFREE
18,2053,66853,9328,1293,SHARED3FREE
21,2749,78349,1293,9328,SHARED3FREE
11,1361,40961,9328,9404,SHARED3FREE
15,3089,57089,9404,9328,SHARED3FREE
9,3031,35431,9378,9404,WALK
12,2263,45463,9404,9378,WALK
