node_index,is_stop_only,pos_x,pos_y,actual_nodes
145,False,6297233.177,1863880.589,79452
146,False,6297050.894,1863839.948,79473
147,False,6300382.0,1863831.001,79476
148,False,6294688.0,1863823.0,79481
149,False,6310453.0,1863807.0,79490
150,False,6296929.0,1863806.0,79491
151,False,6297302.0,1863773.0,79519
152,False,6330017.163,1863767.423,79522
153,False,6330004.622,1863757.942,79527
154,False,6297124.337,1863755.258,79528
155,False,6296614.001,1863755.0,79529
156,False,6330009.301,1863739.179,79533
157,False,6325517.0,1863736.0,79536
158,False,6296689.0,1863733.0,79539
159,False,6296982.0,1863726.0,79545
160,False,6296740.0,1863723.0,79548
161,False,6296782.0,1863717.0,79552
162,False,6300304.0,1863698.0,79564
163,False,6313051.0,1863697.0,79565
164,False,6329915.362,1863694.361,79568
165,False,6329441.62,1863694.272,79569
166,False,6330624.348,1863692.845,79571
167,False,6306518.0,1863684.0,79576
168,False,6308570.0,1863670.0,79589
169,False,6300175.0,1863662.0,79595
170,False,6329491.096,1863656.731,79598
171,False,6330498.927,1863639.816,79606
172,False,6330035.809,1863632.887,79610
173,False,6304879.0,1863627.0,79611
174,False,6296668.0,1863620.0,79616
175,False,6313902.0,1863610.0,79624
176,False,6330042.932,1863604.139,79628
177,False,6300110.0,1863600.0,79630
178,False,6311282.0,1863591.0,79635
179,False,6330013.853,1863587.761,79641
180,False,6329945.545,1863575.483,79647
181,False,6325563.0,1863568.0,79649
182,False,6330053.464,1863561.336,79653
183,False,6300167.0,1863556.0,79657
184,False,6329950.941,1863554.227,79658
185,False,6329929.535,1863543.391,79663
186,False,6292510.0,1863538.0,79665
187,False,6330061.179,1863529.987,79668
188,False,6294135.0,1863529.0,79669
189,False,6329989.58,1863525.542,79670
190,False,6328858.158,1863516.0,79674
191,False,6329640.627,1863510.887,79675
192,False,6329961.959,1863510.804,79676
193,False,6330156.121,1863495.201,79688
194,False,6329977.76,1863487.06,79695
195,False,6329969.097,1863482.715,79698
196,False,6329895.344,1863481.476,79700
197,False,6313863.0,1863477.0,79702
198,False,6329972.723,1863468.434,79711
199,False,6330078.828,1863459.257,79719
200,False,6329518.464,1863447.127,79728
201,False,6329687.89,1863439.79,79730
202,False,6329867.815,1863436.859,79732
203,False,6330085.868,1863429.661,79740
204,False,6329985.783,1863416.995,79752
205,False,6329978.066,1863413.726,79754
206,False,6310283.0,1863410.0,79758
207,False,6329708.095,1863406.408,79761
208,False,6329958.13,1863405.405,79762
209,False,6315065.0,1863404.0,79764
210,False,6301750.0,1863392.0,79772
211,False,6330094.605,1863390.81,79774
212,False,6329552.706,1863389.514,79779
213,False,6297012.0,1863381.0,79782
214,False,6329724.02,1863380.097,79783
215,False,6329577.925,1863359.567,79792
216,False,6330001.71,1863355.853,79794
217,False,6312239.0,1863349.0,79799
218,False,6329800.434,1863347.949,79800
219,False,6329981.57,1863340.601,79806
220,False,6325699.0,1863339.0,79808
221,False,6330007.182,1863335.123,79811
222,False,6329609.91,1863333.758,79813
223,False,6329752.432,1863333.156,79814
224,False,6304242.0,1863323.0,79816
225,False,6329982.405,1863320.28,79819
226,False,6329943.465,1863313.857,79827
227,False,6329763.341,1863310.132,79829
228,False,6300540.0,1863308.0,79832
229,False,6329666.717,1863306.158,79836
230,False,6296871.0,1863301.0,79840
231,False,6329941.601,1863297.144,79844
232,False,6315187.0,1863295.0,79847
233,False,6330116.232,1863293.407,79849
234,False,6310911.0,1863292.0,79851
235,False,6329188.374,1863287.67,79855
236,False,6329734.916,1863284.981,79857
237,False,6296805.0,1863284.0,79858
238,False,6329779.328,1863276.389,79861
239,False,6300090.0,1863251.0,79869
240,False,6294344.0,1863234.0,79875
241,False,6305631.0,1863231.0,79876
242,False,6305886.287,1863237.685,79877
243,False,6329803.202,1863228.934,79879
244,False,6315047.0,1863213.999,79885
245,False,6304972.0,1863209.0,79891
246,False,6308594.571,1863183.842,79904
247,False,6300454.0,1863156.0,79915
248,False,6329442.46,1863141.006,79919
249,False,6326282.0,1863136.0,79922
250,False,6303796.0,1863125.0,79932
251,False,6328842.186,1863118.218,79937
252,False,6300696.0,1863112.0,79944
253,False,6311989.0,1863072.0,79960
254,False,6327219.0,1863072.0,79961
255,False,6296147.0,1863061.0,79967
256,False,6327034.0,1863053.0,79970
257,False,6328850.67,1863044.867,79974
258,False,6300322.0,1863044.0,79975
259,False,6302562.0,1863043.0,79977
260,False,6306191.0,1863041.0,79979
261,False,6328609.359,1863032.296,79983
262,False,6303701.0,1863027.999,79989
263,False,6326879.0,1863020.0,79997
264,False,6304965.0,1863018.0,79998
265,False,6316488.0,1863014.0,80001
266,False,6316139.684,1862998.289,80006
267,False,6307541.0,1862999.999,80008
268,False,6327021.0,1862995.0,80009
269,False,6300797.593,1862985.218,80013
270,False,6324075.0,1862975.0,80016
271,False,6327190.0,1862958.0,80022
272,False,6316141.2,1862937.46,80028
273,False,6296870.844,1862940.031,80031
274,False,6316277.0,1862927.0,80038
275,False,6299495.0,1862925.0,80041
276,False,6305620.0,1862922.0,80043
277,False,6329861.951,1862917.611,80046
278,False,6306303.0,1862917.0,80047
279,False,6292837.0,1862906.0,80050
280,False,6329997.219,1862905.083,80052
281,False,6294805.0,1862894.0,80059
282,False,6298158.0,1862893.0,80060
283,False,6324075.0,1862890.0,80062
284,False,6316142.727,1862876.158,80066
285,False,6300171.0,1862881.0,80068
286,False,6304654.0,1862875.0,80071
287,False,6292858.0,1862872.999,80073
288,False,6299631.0,1862872.999,80074
289,False,6298501.0,1862864.0,80080
290,False,6312373.0,1862853.0,80085
291,False,6316480.0,1862843.0,80093
292,False,6292880.0,1862838.0,80097
293,False,6297738.0,1862836.0,80098
294,False,6326994.0,1862836.0,80099
295,False,6299516.0,1862833.0,80100
296,False,6328611.272,1862830.338,80103
297,False,6329152.001,1862830.0,80105
298,False,6307484.0,1862822.0,80109
299,False,6297849.0,1862820.0,80112
300,False,6328001.534,1862807.98,80119
301,False,6300415.0,1862804.0,80121
302,False,6316144.608,1862800.715,80124
303,False,6328162.496,1862793.77,80125
304,False,6308230.0,1862779.999,80131
305,False,6330334.29,1862777.62,80133
306,False,6297825.999,1862764.0,80140
307,False,6329986.223,1862757.471,80145
308,False,6300202.0,1862750.0,80151
309,False,6324121.0,1862747.0,80154
310,False,6317118.0,1862742.0,80159
311,False,6327662.088,1862738.097,80161
312,False,6313702.0,1862734.0,80164
313,False,6314650.001,1862730.0,80165
314,False,6314026.0,1862710.0,80181
315,False,6317190.0,1862700.0,80187
316,False,6327697.842,1862692.77,80191
317,False,6330463.511,1862689.942,80192
318,False,6323965.0,1862683.0,80195
319,False,6325989.0,1862675.0,80199
320,False,6302379.0,1862672.0,80203
321,False,6327715.934,1862665.367,80206
322,False,6305618.0,1862661.0,80208
323,False,6304709.0,1862657.0,80211
324,False,6293002.0,1862646.0,80219
325,False,6327015.0,1862640.0,80225
326,False,6329789.0,1862639.0,80227
327,False,6327734.31,1862637.535,80231
328,False,6328861.0,1862635.0,80232
329,False,6313204.0,1862634.0,80233
330,False,6329922.283,1862623.299,80238
331,False,6315251.0,1862623.0,80239
332,False,6326715.0,1862616.0,80244
333,False,6327766.37,1862573.67,80259
334,False,6296675.0,1862570.0,80264
335,False,6328243.0,1862551.0,80276
336,False,6311543.0,1862547.0,80278
337,False,6311430.0,1862538.0,80287
338,False,6299148.0,1862529.001,80290
339,False,6304408.0,1862525.0,80294
340,False,6311267.0,1862524.0,80295
341,False,6313257.999,1862521.0,80297
342,False,6327478.155,1862518.751,80299
343,False,6322730.0,1862518.0,80300
344,False,6294312.0,1862515.0,80301
345,False,6303749.0,1862515.0,80302
346,False,6294437.0,1862513.0,80304
347,False,6321152.0,1862513.0,80305
348,False,6294656.0,1862510.0,80306
349,False,6314030.001,1862508.0,80308
350,False,6314897.0,1862499.0,80314
351,False,6298668.0,1862495.0,80315
352,False,6295959.0,1862494.0,80316
353,False,6322593.0,1862491.0,80318
354,False,6312626.0,1862485.0,80321
355,False,6290334.0,1862483.0,80324
356,False,6317046.0,1862475.0,80331
357,False,6317428.0,1862475.0,80332
358,False,6323001.0,1862474.0,80334
359,False,6295877.0,1862471.0,80338
360,False,6315355.0,1862466.0,80342
361,False,6316138.001,1862455.0,80346
362,False,6302968.0,1862454.0,80347
363,False,6292164.0,1862447.0,80349
364,False,6311896.0,1862443.0,80351
365,False,6317024.0,1862441.0,80353
366,False,6311278.0,1862440.0,80354
367,False,6322502.0,1862437.0,80355
368,False,6298361.0,1862436.001,80356
369,False,6295720.0,1862427.0,80362
370,False,6317006.001,1862413.0,80365
371,False,6301129.346,1862407.127,80369
372,False,6329156.0,1862407.0,80370
373,False,6317308.0,1862390.0,80378
374,False,6330017.178,1862386.655,80383
375,False,6290536.0,1862374.001,80388
376,False,6298035.0,1862374.001,80389
